#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2024 01 01 19 10 246 14.8 999 99.0 9999
2024 01 01 19 20 241 14.6 999 99.0 9999
2024 01 01 19 30 241 14.5 999 99.0 9999
2024 01 01 19 40 243 14.8 999 99.0 9999
2024 01 01 19 50 240 15.1 999 99.0 9999
2024 01 01 20 00 239 15.3 233 17.6 1951
2024 01 01 20 10 243 15.1 999 99.0 9999
2024 01 01 20 20 241 15.6 999 99.0 9999
2024 01 01 20 30 240 14.8 999 99.0 9999
2024 01 01 20 40 239 14.7 999 99.0 9999
2024 01 01 20 50 242 15.1 999 99.0 9999
2024 01 01 21 00 240 14.8 246 17.4 2011
2024 01 01 21 10 244 14.8 999 99.0 9999
2024 01 01 21 20 242 14.7 999 99.0 9999
2024 01 01 21 30 238 14.5 999 99.0 9999
2024 01 01 21 40 236 14.3 999 99.0 9999
2024 01 01 21 50 238 14.6 999 99.0 9999
2024 01 01 22 00 236 15.0 236 17.9 2158
2024 01 01 22 10 238 15.6 999 99.0 9999
2024 01 01 22 20 239 15.4 999 99.0 9999
2024 01 01 22 30 237 15.2 999 99.0 9999
2024 01 01 22 40 239 14.8 999 99.0 9999
2024 01 01 22 50 239 14.7 999 99.0 9999
2024 01 01 23 00 237 14.7 238 17.6 2216
2024 01 01 23 10 236 15.4 999 99.0 9999
2024 01 01 23 20 236 15.6 999 99.0 9999
2024 01 01 23 30 237 15.6 999 99.0 9999
2024 01 01 23 40 236 15.8 999 99.0 9999
2024 01 01 23 50 238 15.4 999 99.0 9999
2024 01 02 00 00 238 15.1 234 18.4 2334
2024 01 02 00 10 238 14.7 999 99.0 9999
2024 01 02 00 20 237 14.4 999 99.0 9999
2024 01 02 00 30 243 15.2 999 99.0 9999
2024 01 02 00 40 243 15.4 999 99.0 9999
2024 01 02 00 50 244 14.8 999 99.0 9999
2024 01 02 01 00 239 15.5 241 18.2 0055
2024 01 02 01 10 242 15.8 999 99.0 9999
2024 01 02 01 20 242 15.5 999 99.0 9999
2024 01 02 01 30 241 15.6 999 99.0 9999
2024 01 02 01 40 242 15.6 999 99.0 9999
2024 01 02 01 50 241 15.9 999 99.0 9999
