clade_name	TrimGalore/WM01_S1_R1_001_val_1.fq.gz	TrimGalore/WM02_S2_R1_001_val_1.fq.gz	TrimGalore/WM03_S3_R1_001_val_1.fq.gz	TrimGalore/WM04_S4_R1_001_val_1.fq.gz	TrimGalore/WM05_S5_R1_001_val_1.fq.gz	TrimGalore/WM11_S6_R1_001_val_1.fq.gz	TrimGalore/WM12_S7_R1_001_val_1.fq.gz	TrimGalore/WM13_S8_R1_001_val_1.fq.gz	TrimGalore/WM14_S9_R1_001_val_1.fq.gz	TrimGalore/WM15_S10_R1_001_val_1.fq.gz	TrimGalore/WM16_S11_R1_001_val_1.fq.gz	TrimGalore/WM17_S12_R1_001_val_1.fq.gz	TrimGalore/WM18_S13_R1_001_val_1.fq.gz	TrimGalore/WM19_S14_R1_001_val_1.fq.gz	TrimGalore/WM20_S15_R1_001_val_1.fq.gz	TrimGalore/WM21_S16_R1_001_val_1.fq.gz	TrimGalore/WM22_S17_R1_001_val_1.fq.gz	TrimGalore/WM23_S18_R1_001_val_1.fq.gz	TrimGalore/WM24_S19_R1_001_val_1.fq.gz
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__Fluviicola|s__Fluviicola sp029866325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__Fluviicola|s__Fluviicola sp029866325|t__GCA_029866325.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__M0103	0.0	0.0	0.0783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__M0103|s__M0103 sp947470515	0.0	0.0	0.0783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__M0103|s__M0103 sp947470515|t__GCA_947470515.1	0.0	0.0	0.0783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952	0.0423	0.4317	2.5236	0.2554	0.3127	0.7535999999999999	0.9643000000000002	1.2021	0.4024	0.5122	1.1484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp009923965	0.0	0.0	0.7062	0.0	0.0	0.165	0.2092	0.2598	0.0	0.0	0.2423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp009923965|t__GCA_009923965.1	0.0	0.0	0.7062	0.0	0.0	0.165	0.2092	0.2598	0.0	0.0	0.2423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp009926125	0.0	0.2315	0.8873	0.1361	0.1659	0.237	0.2674	0.3203	0.1875	0.2221	0.3759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp009926125|t__GCA_009926125.1	0.0	0.2315	0.8873	0.1361	0.1659	0.237	0.2674	0.3203	0.1875	0.2221	0.3759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp021740085	0.0	0.0	0.0644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp021740085|t__GCA_021740085.1	0.0	0.0	0.0644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp026391005	0.0	0.0	0.0709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp026391005|t__GCA_026391005.1	0.0	0.0	0.0709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp945877045	0.0	0.0	0.0745	0.0	0.0	0.0637	0.0802	0.1232	0.0382	0.0462	0.0831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp945877045|t__GCA_945877045.1	0.0	0.0	0.0745	0.0	0.0	0.0637	0.0802	0.1232	0.0382	0.0462	0.0831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp945892995	0.0423	0.2002	0.6104	0.1193	0.1468	0.1901	0.2284	0.2742	0.1767	0.1696	0.314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp945892995|t__GCA_945892995.1	0.0423	0.2002	0.6104	0.1193	0.1468	0.1901	0.2284	0.2742	0.1767	0.1696	0.314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp947462255	0.0	0.0	0.0	0.0	0.0	0.0978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp947462255|t__GCA_947462255.1	0.0	0.0	0.0	0.0	0.0	0.0978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp947475095	0.0	0.0	0.1099	0.0	0.0	0.0	0.1791	0.2246	0.0	0.0743	0.1331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__UBA952|s__UBA952 sp947475095|t__GCA_947475095.1	0.0	0.0	0.1099	0.0	0.0	0.0	0.1791	0.2246	0.0	0.0743	0.1331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae	0.1917	0.0732	0.6935	0.0	0.0	0.0	0.0	0.0	0.0498	0.1238	0.0618	0.1977	0.0	0.0	0.0	0.4359999999999999	0.7841	0.5445	0.2741
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	0.1917	0.0732	0.6935	0.0	0.0	0.0	0.0	0.0	0.0498	0.1238	0.0618	0.1977	0.0	0.0	0.0	0.4359999999999999	0.7841	0.5445	0.2741
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium panici	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0498	0.0722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium panici|t__GCF_903819335.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0498	0.0722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum_G	0.0	0.0	0.0922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum_G|t__GCA_945879625.1	0.0	0.0	0.0922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum_L	0.1917	0.0732	0.0326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum_L|t__GCA_945897545.1	0.1917	0.0732	0.0326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum_Q	0.0	0.0	0.1438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum_Q|t__GCA_945907225.1	0.0	0.0	0.1438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp002150205	0.0	0.0	0.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp002150205|t__GCF_918731615.1	0.0	0.0	0.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp029866065	0.0	0.0	0.0642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp029866065|t__GCA_029866065.1	0.0	0.0	0.0642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943324165	0.0	0.0	0.0443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943324165|t__GCA_943324165.2	0.0	0.0	0.0443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943325355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943325355|t__GCA_943325355.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943328505	0.0	0.0	0.0394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1404	0.3174	0.1847	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943328505|t__GCA_943328505.2	0.0	0.0	0.0394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1404	0.3174	0.1847	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943329165	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp943329165|t__GCA_943329165.2	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp945873505	0.0	0.0	0.1609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp945873505|t__GCA_945873505.1	0.0	0.0	0.1609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947446635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947446635|t__GCA_947446635.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947461795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1977	0.0	0.0	0.0	0.2956	0.4667	0.3598	0.2741
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947461795|t__GCA_947461795.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1977	0.0	0.0	0.0	0.2956	0.4667	0.3598	0.2741
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947461915	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947461915|t__GCA_947461915.1	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947483095	0.0	0.0	0.0648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium sp947483095|t__GCA_947483095.1	0.0	0.0	0.0648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__GCA-002722245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__GCA-002722245|g__JAHEZL01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__GCA-002722245|g__JAHEZL01|s__JAHEZL01 sp026390935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__GCA-002722245|g__JAHEZL01|s__JAHEZL01 sp026390935|t__GCA_026390935.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__PHOS-HE28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0961	0.0	0.0	0.0	0.0	0.116	0.163	0.0646
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__PHOS-HE28|g__PHOS-HE28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0961	0.0	0.0	0.0	0.0	0.116	0.163	0.0646
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__PHOS-HE28|g__PHOS-HE28|s__PHOS-HE28 sp016717225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0961	0.0	0.0	0.0	0.0	0.116	0.163	0.0646
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__PHOS-HE28|g__PHOS-HE28|s__PHOS-HE28 sp016717225|t__GCA_016717225.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0961	0.0	0.0	0.0	0.0	0.116	0.163	0.0646
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae	0.0	0.0	0.3621	0.0	0.0	0.0	0.0803	0.1241	0.0	0.0375	0.0579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae|g__TMED14	0.0	0.0	0.3621	0.0	0.0	0.0	0.0803	0.1241	0.0	0.0375	0.0579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae|g__TMED14|s__TMED14 sp002737315	0.0	0.0	0.3621	0.0	0.0	0.0	0.0803	0.1241	0.0	0.0375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae|g__TMED14|s__TMED14 sp002737315|t__GCA_002737315.1	0.0	0.0	0.3621	0.0	0.0	0.0	0.0803	0.1241	0.0	0.0375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae|g__TMED14|s__TMED14 sp013205365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Schleiferiaceae|g__TMED14|s__TMED14 sp013205365|t__GCA_013205365.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16	0.0	0.0	0.3969999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16|g__CAIZGX01	0.0	0.0	0.3354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16|g__CAIZGX01|s__CAIZGX01 sp945878835	0.0	0.0	0.3354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16|g__CAIZGX01|s__CAIZGX01 sp945878835|t__GCA_945878835.1	0.0	0.0	0.3354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16|g__JAIBBG01	0.0	0.0	0.0616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16|g__JAIBBG01|s__JAIBBG01 sp945869405	0.0	0.0	0.0616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__UA16|g__JAIBBG01|s__JAIBBG01 sp945869405|t__GCA_945869405.1	0.0	0.0	0.0616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g	0.0	0.1435	1.8121	0.2467	0.1018999999999999	0.1484	0.1626	0.4103	0.1059	0.0869	0.2334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA9320	0.0	0.0	0.0413	0.0549	0.025	0.0	0.0	0.0395	0.0	0.0316	0.0463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA9320|g__JABWCE01	0.0	0.0	0.0413	0.0549	0.025	0.0	0.0	0.0395	0.0	0.0316	0.0463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA9320|g__JABWCE01|s__JABWCE01 sp945907065	0.0	0.0	0.0413	0.0549	0.025	0.0	0.0	0.0395	0.0	0.0316	0.0463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA9320|g__JABWCE01|s__JABWCE01 sp945907065|t__GCA_945907065.1	0.0	0.0	0.0413	0.0549	0.025	0.0	0.0	0.0395	0.0	0.0316	0.0463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955	0.0	0.1435	1.5246	0.1918	0.0769	0.1243	0.1422	0.2474	0.1059	0.0553	0.1871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955|g__JABMMZ01	0.0	0.1435	1.0281	0.1918	0.0769	0.0682	0.0805	0.1259	0.0644	0.0553	0.1255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955|g__JABMMZ01|s__JABMMZ01 sp013205405	0.0	0.1435	1.0281	0.1114	0.0769	0.0682	0.0805	0.1259	0.0644	0.0553	0.0874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955|g__JABMMZ01|s__JABMMZ01 sp013205405|t__GCA_013205405.1	0.0	0.1435	1.0281	0.1114	0.0769	0.0682	0.0805	0.1259	0.0644	0.0553	0.0874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955|g__JABMMZ01|s__JABMMZ01 sp947450015	0.0	0.0	0.0	0.0804	0.0	0.0	0.0	0.0	0.0	0.0	0.0381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955|g__JABMMZ01|s__JABMMZ01 sp947450015|t__GCA_947450015.1	0.0	0.0	0.0	0.0804	0.0	0.0	0.0	0.0	0.0	0.0	0.0381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__NS11-12g|f__UBA955|g__UBA955	0.0	0.0	0.4965	0.0	0.0	0.0561	0.0617	0.1215	0.0415	0.0	0.0616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
