columns
g1_resource_acquisition__substrate_uptake__aromatic_acid_transport
g1_resource_acquisition__substrate_uptake__biopolymer_transport
g1_resource_acquisition__substrate_uptake__carbohydrate_transport
g1_resource_acquisition__substrate_uptake__carboxylate_transport
g1_resource_acquisition__substrate_uptake__free_amino_acids_transport
g1_resource_acquisition__substrate_uptake__ion_transport
g1_resource_acquisition__substrate_uptake__lipid_transport
g1_resource_acquisition__substrate_uptake__n_compound_transport
g1_resource_acquisition__substrate_uptake__nucleic_acid_component_transport
g1_resource_acquisition__substrate_uptake__organophosphorus_transport
g1_resource_acquisition__substrate_uptake__osmolyte_transport
g1_resource_acquisition__substrate_uptake__peptide_transport
g1_resource_acquisition__substrate_uptake__s_compound_transport
g1_resource_acquisition__substrate_uptake__secondary_metabolite_transport
g1_resource_acquisition__substrate_uptake__vitamin_transport
g1_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization
g1_resource_acquisition__substrate_degradation__simple_compound_degradation
g1_resource_acquisition__substrate_assimilation__c1_compounds
g1_resource_acquisition__substrate_assimilation__n_compounds
g1_resource_acquisition__substrate_assimilation__s_compounds
g1_resource_acquisition__substrate_assimilation__p_compounds
g1_resource_use__chemotrophy__chemoorganoheterotrophy__fermentation
g1_resource_use__chemotrophy__chemoorganoheterotrophy__aerobic_respiration
g1_resource_use__chemotrophy__chemolithoheterotrophy__anaerobic_respiration
g1_resource_use__chemotrophy__chemolithoautotrophy
g1_resource_use__phototrophy__photosystem
g1_resource_use__phototrophy__pigments__core
g1_resource_use__phototrophy__pigments__accessory
g1_stress_tolerance__general
g1_stress_tolerance__specific__temperature__high
g1_stress_tolerance__specific__temperature__low
g1_stress_tolerance__specific__desiccation_osmotic_salt_stress
g1_stress_tolerance__specific__ph_stress
g1_stress_tolerance__specific__oxidative_stress
g1_stress_tolerance__specific__oxygen_limitation
g1_stress_tolerance__specific__envelope_stress
g2_resource_acquisition__substrate_uptake__aromatic_acid_transport
g2_resource_acquisition__substrate_uptake__biopolymer_transport
g2_resource_acquisition__substrate_uptake__carbohydrate_transport__carbohydrate_acid_transport
g2_resource_acquisition__substrate_uptake__carbohydrate_transport__carbohydrate_phosphate_transport
g2_resource_acquisition__substrate_uptake__carbohydrate_transport__monosaccharide_transport
g2_resource_acquisition__substrate_uptake__carbohydrate_transport__oligosaccharide_transport
g2_resource_acquisition__substrate_uptake__carbohydrate_transport__polysaccharide_transport
g2_resource_acquisition__substrate_uptake__carbohydrate_transport__sugar_alcohol_transport
g2_resource_acquisition__substrate_uptake__carboxylate_transport__dicarboxylate_transport
g2_resource_acquisition__substrate_uptake__carboxylate_transport__monocarboxylate_transport
g2_resource_acquisition__substrate_uptake__carboxylate_transport__tricarboxylate_transport
g2_resource_acquisition__substrate_uptake__free_amino_acids_transport
g2_resource_acquisition__substrate_uptake__ion_transport__inorganic_transport
g2_resource_acquisition__substrate_uptake__ion_transport__metal_transport
g2_resource_acquisition__substrate_uptake__lipid_transport
g2_resource_acquisition__substrate_uptake__lipid_transport__cell_membrane_lipid_transport
g2_resource_acquisition__substrate_uptake__lipid_transport__lipid_precursor_transport
g2_resource_acquisition__substrate_uptake__n_compound_transport__amide_transport
g2_resource_acquisition__substrate_uptake__n_compound_transport__ammonium_transport
g2_resource_acquisition__substrate_uptake__n_compound_transport__nitrate_transport
g2_resource_acquisition__substrate_uptake__n_compound_transport__nitrite_transport
g2_resource_acquisition__substrate_uptake__n_compound__nitrogen_transport
g2_resource_acquisition__substrate_uptake__n_compound__urea_transport
g2_resource_acquisition__substrate_uptake__nucleic_acid_component_transport__nucleobase_transport
g2_resource_acquisition__substrate_uptake__nucleic_acid_component_transport__nucleoside_transport
g2_resource_acquisition__substrate_uptake__nucleic_acid_component_transport__nucleotide_transport
g2_resource_acquisition__substrate_uptake__nucleic_acid_component_transport__ribonucleoside_transport
g2_resource_acquisition__substrate_uptake__organophosphorus_compound_transport
g2_resource_acquisition__substrate_uptake__osmolyte_transport
g2_resource_acquisition__substrate_uptake__peptide_transport
g2_resource_acquisition__substrate_uptake__s_compound_transport
g2_resource_acquisition__substrate_uptake__secondary_metabolite_transport__siderophore_based_transport
g2_resource_acquisition__substrate_uptake__vitamin_transport__vitamin_b_transport
g2_resource_acquisition__substrate_uptake__vitamin_transport__vitamin_c_transport
g2_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization__cellulose_breakdown
g2_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization__chitin_breakdown
g2_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization__heteromannan_breakdown
g2_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization__mixed_linkage_glucan_breakdown
g2_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization__xylan_and_heteroxylan_breakdown
g2_resource_acquisition__substrate_degradation__complex_carbohydrate_depolymerization__xyloglucan_breakdown
g2_resource_acquisition__substrate_degradation__simple_compound_degradation__protein_degradation
g2_resource_acquisition__substrate_degradation__simple_compound_degradation__carbohydrate_degradation
