k	p	c	o	f	g	s	otu
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU1335
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__unknown	o__OTU1336
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__37-13	g__unknown	s__unknown	o__OTU1337
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__Rhodobacter sphaeroides	o__OTU1338
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__unknown	s__unknown	o__OTU134
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU1340
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unknown	o__OTU1341
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unknown	o__OTU1348
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU135
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax delafieldii	o__OTU1350
k__Bacteria	p__GAL15	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU13543
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1355
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__SM2D12	g__unknown	s__unknown	o__OTU1362
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__unknown	s__unknown	o__OTU1363
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__MWH-CFBk5	g__unknown	s__unknown	o__OTU1364
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__unknown	g__unknown	s__unknown	o__OTU13652
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__unknown	o__OTU1366
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unknown	s__unknown	o__OTU1370
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__unknown	g__unknown	s__unknown	o__OTU1372
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__unknown	g__unknown	s__unknown	o__OTU13761
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Coxiellales	f__Coxiellaceae	g__unknown	s__unknown	o__OTU1377
k__Bacteria	p__NB1-j	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1380
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Fimbriiglobus	s__unknown	o__OTU1381
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__unknown	o__OTU1384
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU1388
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__Ferruginibacter sp.	o__OTU139
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Limnohabitans	s__unknown	o__OTU1395
k__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Lineage IV	f__unknown	g__unknown	s__unknown	o__OTU1396
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__unknown	g__unknown	s__unknown	o__OTU1401
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__unknown	s__unknown	o__OTU1402
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Neisseria meningitidis	o__OTU1404
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU1405
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unknown	o__OTU141
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1410
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU1415
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Fimbriiglobus	s__unknown	o__OTU1420
k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Peredibacter	s__unknown	o__OTU1423
k__Bacteria	p__Dependentiae	c__Babeliae	o__Babeliales	f__unknown	g__unknown	s__unknown	o__OTU1427
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__Candidatus Jacksonbacteria	o__OTU143
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU1430
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1431
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unknown	s__unknown	o__OTU1432
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__unknown	o__OTU1433
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__alphaI cluster	s__unknown	o__OTU1435
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1436
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU1439
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Pseudarcicella	s__unknown	o__OTU144
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__Variovorax paradoxus	o__OTU1440
k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__unknown	s__unknown	o__OTU1441
k__Bacteria	p__Dependentiae	c__Babeliae	o__Babeliales	f__	g__unknown	s__unknown	o__OTU1443
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus	s__Sphingomonas sp.	o__OTU1445
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__A0839	g__unknown	s__unknown	o__OTU1447
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU1448
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU1450
k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Peredibacter	s__microbial mat	o__OTU1455
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU146
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium sp.	o__OTU1461
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1462
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium sp. TMB1-24	o__OTU1468
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unknown	o__OTU1469
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__unknown	s__unknown	o__OTU147
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU1472
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1479
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__PeM15	f__unknown	g__unknown	s__unknown	o__OTU148
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU1482
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__unknown	g__unknown	s__unknown	o__OTU1483
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1484
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__unknown	o__OTU1485
k__Bacteria	p__Planctomycetota	c__OM190	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU149
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU1490
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__unknown	o__OTU1492
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__unknown	s__unknown	o__OTU1497
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__unknown	o__OTU1498
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__SM1A02	s__unknown	o__OTU1501
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Ottowia	s__unknown	o__OTU1504
k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcystaceae	g__Snowella 0TU37S04	s__Snowella sp.	o__OTU1508
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU1509
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU1510
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unknown	o__OTU1514
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__NS9 marine group	g__unknown	s__unknown	o__OTU1515
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__unknown	g__unknown	s__unknown	o__OTU1525
k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__unknown	s__unknown	o__OTU1527
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__	o__OTU1529
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__	s__unknown	o__OTU153
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__Hyphomicrobium facile	o__OTU1530
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__unknown	o__OTU1532
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__unknown	o__OTU1541
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1544
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__37-13	g__unknown	s__unknown	o__OTU1546
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unknown	o__OTU156
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__unknown	o__OTU1562
k__Bacteria	p__Planctomycetota	c__OM190	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1566
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__37-13	g__unknown	s__unknown	o__OTU1568
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__SAR11 clade	f__Clade III	g__unknown	s__unknown	o__OTU157
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium hassiacum	o__OTU1570
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__DSSD61	s__unknown	o__OTU1574
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1576
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__unknown	s__unknown	o__OTU1579
k__Bacteria	p__Planctomycetota	c__OM190	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU158
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__Ellin517	s__unknown	o__OTU1581
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__unknown	o__OTU1583
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1584
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__Parachlamydiaceae bacterium	o__OTU1585
k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__Oligoflexaceae	g__unknown	s__unknown	o__OTU1587
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__unknown	o__OTU159
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Aurantisolimonas	s__unknown	o__OTU1590
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__	g__unknown	s__unknown	o__OTU1591
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__unknown	o__OTU1598
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__unknown	s__unknown	o__OTU1599
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__unknown	o__OTU16
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Serratia	s__unknown	o__OTU160
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU1606
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU1607
k__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__unknown	o__OTU1608
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1610
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU1615
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__unknown	o__OTU162
k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Peredibacter	s__microbial mat	o__OTU1620
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__bacterium TG154	o__OTU1623
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU1624
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__unknown	o__OTU163
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU1630
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU1636
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__unknown	s__unknown	o__OTU1637
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__unknown	g__unknown	s__unknown	o__OTU1640
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__Ferruginibacter sp.	o__OTU1644
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__Hassallia	s__Hassallia byssoidea	o__OTU1645
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unknown	o__OTU1651
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__unknown	s__unknown	o__OTU1652
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Edaphobaculum	s__unknown	o__OTU1653
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__unknown	g__unknown	s__unknown	o__OTU1657
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Tardiphaga	s__Tardiphaga robiniae	o__OTU166
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU1660
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium muchangponense	o__OTU1662
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__AAP99	s__unknown	o__OTU1663
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__SM2D12	g__unknown	s__unknown	o__OTU1664
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU1666
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__unknown	g__unknown	s__unknown	o__OTU1676
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__unknown	s__unknown	o__OTU1679
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Pedomicrobium	s__unknown	o__OTU1680
k__Bacteria	p__WPS-2	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1683
k__Bacteria	p__MBNT15	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1698
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__unknown	o__OTU17
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cytophagaceae	g__Cytophaga	s__Hypsibius dujardini	o__OTU170
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU1702
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudorhodobacter	s__unknown	o__OTU1703
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU1707
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__unknown	o__OTU171
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__unknown	o__OTU1710
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unknown	s__unknown	o__OTU1711
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__unknown	s__unknown	o__OTU1713
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unknown	o__OTU1715
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Emticicia	s__Emticicia sediminis	o__OTU172
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1720
k__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellae	o__WCHB1-41	f__unknown	g__unknown	s__unknown	o__OTU1724
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__unknown	o__OTU1725
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__unknown	o__OTU1726
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__unknown	s__unknown	o__OTU1727
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Aquabacterium	s__bacterium C1(2014)	o__OTU1729
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__Luteolibacter algae	o__OTU173
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Phaselicystidaceae	g__Phaselicystis	s__	o__OTU1737
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__unknown	o__OTU174
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__unknown	o__OTU1740
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus	s__Sphingomonas sp.	o__OTU1741
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU1745
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudorhodobacter	s__Pseudorhodobacter wandonensis	o__OTU1746
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__unknown	o__OTU175
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__Longivirga	s__unknown	o__OTU1750
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__KD3-93	g__unknown	s__unknown	o__OTU1755
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__unknown	s__unknown	o__OTU1756
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__unknown	s__unknown	o__OTU1758
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU176
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__IMCC26207	s__unknown	o__OTU1760
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1766
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__oc32	s__unknown	o__OTU1767
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unknown	o__OTU1771
k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__unknown	s__	o__OTU1774
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU1783
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	s__unknown	o__OTU1784
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Criblamydiaceae	g__Estrella	s__unknown	o__OTU1788
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga	s__unknown	o__OTU179
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Inquilinaceae	g__Inquilinus	s__unknown	o__OTU1797
k__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__	o__OTU1798
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__LD29	s__unknown	o__OTU18
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Spirosoma	s__Spirosoma sp. HMF3257	o__OTU180
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__Sporichthya	s__unknown	o__OTU1801
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__unknown	o__OTU1802
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__unknown	s__unknown	o__OTU1804
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__unknown	o__OTU1805
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__unknown	s__unknown	o__OTU181
