bin	id
WM11_S6_019	K01556
WM11_S6_019	K01579
WM11_S6_019	K01585
WM11_S6_019	K01586
WM11_S6_019	K01589
WM11_S6_019	K01591
WM11_S6_019	K01599
WM11_S6_019	K01610
WM11_S6_019	K01613
WM11_S6_019	K01619
WM11_S6_019	K01620
WM11_S6_019	K01627
WM11_S6_019	K01647
WM11_S6_019	K01662
WM11_S6_019	K01665
WM11_S6_019	K01669
WM11_S6_019	K01673
WM11_S6_019	K01679
WM11_S6_019	K01689
WM11_S6_019	K01697
WM11_S6_019	K01710
WM11_S6_019	K01711
WM11_S6_019	K01712
WM11_S6_019	K01714
WM11_S6_019	K01715
WM11_S6_019	K01719
WM11_S6_019	K01735
WM11_S6_019	K01736
WM11_S6_019	K01737
WM11_S6_019	K01745
WM11_S6_019	K01749
WM11_S6_019	K01756
WM11_S6_019	K01758
WM11_S6_019	K01770
WM11_S6_019	K01772
WM11_S6_019	K01776
WM11_S6_019	K01778
WM11_S6_019	K01779
WM11_S6_019	K01783
WM11_S6_019	K01784
WM11_S6_019	K01790
WM11_S6_019	K01791
WM11_S6_019	K01798
WM11_S6_019	K01803
WM11_S6_019	K01814
WM11_S6_019	K01834
WM11_S6_019	K01835
WM11_S6_019	K01840
WM11_S6_019	K01845
WM11_S6_019	K01847
WM11_S6_019	K01866
WM11_S6_019	K01867
WM11_S6_019	K01868
WM11_S6_019	K01869
WM11_S6_019	K01870
WM11_S6_019	K01872
WM11_S6_019	K01873
WM11_S6_019	K01874
WM11_S6_019	K01875
WM11_S6_019	K01876
WM11_S6_019	K01880
WM11_S6_019	K01881
WM11_S6_019	K01883
WM11_S6_019	K01889
WM11_S6_019	K01890
WM11_S6_019	K01892
WM11_S6_019	K01893
WM11_S6_019	K01895
WM11_S6_019	K01897
WM11_S6_019	K01899
WM11_S6_019	K01902
WM11_S6_019	K01903
WM11_S6_019	K01915
WM11_S6_019	K01916
WM11_S6_019	K01918
WM11_S6_019	K01923
WM11_S6_019	K01924
WM11_S6_019	K01925
WM11_S6_019	K01928
WM11_S6_019	K01929
WM11_S6_019	K01933
WM11_S6_019	K01937
WM11_S6_019	K01939
WM11_S6_019	K01945
WM11_S6_019	K01951
WM11_S6_019	K01953
WM11_S6_019	K01955
WM11_S6_019	K01956
WM11_S6_019	K01961
WM11_S6_019	K01962
WM11_S6_019	K01963
WM11_S6_019	K01966
WM11_S6_019	K01968
WM11_S6_019	K01969
WM11_S6_019	K01971
WM11_S6_019	K01972
WM11_S6_019	K01990
WM11_S6_019	K01991
WM11_S6_019	K01993
WM11_S6_019	K02003
WM11_S6_019	K02005
WM11_S6_019	K02010
WM11_S6_019	K02014
WM11_S6_019	K02031
WM11_S6_019	K02033
WM11_S6_019	K02034
WM11_S6_019	K02040
WM11_S6_019	K02065
WM11_S6_019	K02066
WM11_S6_019	K02067
WM11_S6_019	K02099
WM11_S6_019	K02108
WM11_S6_019	K02109
WM11_S6_019	K02111
WM11_S6_019	K02113
WM11_S6_019	K02115
WM11_S6_019	K02133
WM11_S6_019	K02160
WM11_S6_019	K02172
WM11_S6_019	K02193
WM11_S6_019	K02194
WM11_S6_019	K02195
WM11_S6_019	K02198
WM11_S6_019	K02199
WM11_S6_019	K02217
WM11_S6_019	K02238
WM11_S6_019	K02242
WM11_S6_019	K02259
WM11_S6_019	K02274
WM11_S6_019	K02275
WM11_S6_019	K02276
WM11_S6_019	K02294
WM11_S6_019	K02303
WM11_S6_019	K02313
WM11_S6_019	K02314
WM11_S6_019	K02316
WM11_S6_019	K02335
WM11_S6_019	K02337
WM11_S6_019	K02338
WM11_S6_019	K02340
WM11_S6_019	K02341
WM11_S6_019	K02342
WM11_S6_019	K02343
WM11_S6_019	K02346
WM11_S6_019	K02347
WM11_S6_019	K02348
WM11_S6_019	K02355
WM11_S6_019	K02356
WM11_S6_019	K02357
WM11_S6_019	K02358
WM11_S6_019	K02371
WM11_S6_019	K02377
WM11_S6_019	K02429
WM11_S6_019	K02433
WM11_S6_019	K02434
WM11_S6_019	K02437
WM11_S6_019	K02469
WM11_S6_019	K02470
WM11_S6_019	K02473
WM11_S6_019	K02474
WM11_S6_019	K02477
WM11_S6_019	K02478
WM11_S6_019	K02480
WM11_S6_019	K02481
WM11_S6_019	K02490
WM11_S6_019	K02491
WM11_S6_019	K02492
WM11_S6_019	K02493
WM11_S6_019	K02495
WM11_S6_019	K02499
WM11_S6_019	K02500
WM11_S6_019	K02501
WM11_S6_019	K02517
WM11_S6_019	K02519
WM11_S6_019	K02523
WM11_S6_019	K02527
WM11_S6_019	K02528
WM11_S6_019	K02536
WM11_S6_019	K02557
WM11_S6_019	K02558
WM11_S6_019	K02563
WM11_S6_019	K02574
WM11_S6_019	K02600
WM11_S6_019	K02609
WM11_S6_019	K02610
WM11_S6_019	K02611
WM11_S6_019	K02612
WM11_S6_019	K02613
WM11_S6_019	K02614
WM11_S6_019	K02615
WM11_S6_019	K02617
WM11_S6_019	K02618
WM11_S6_019	K02619
WM11_S6_019	K02621
WM11_S6_019	K02622
WM11_S6_019	K02636
WM11_S6_019	K02652
WM11_S6_019	K02653
WM11_S6_019	K02666
WM11_S6_019	K02687
WM11_S6_019	K02742
WM11_S6_019	K02805
WM11_S6_019	K02825
WM11_S6_019	K02834
WM11_S6_019	K02835
WM11_S6_019	K02836
WM11_S6_019	K02837
WM11_S6_019	K02838
WM11_S6_019	K02843
WM11_S6_019	K02847
WM11_S6_019	K02849
WM11_S6_019	K02851
WM11_S6_019	K02860
WM11_S6_019	K02863
WM11_S6_019	K02864
WM11_S6_019	K02867
WM11_S6_019	K02871
WM11_S6_019	K02876
WM11_S6_019	K02879
WM11_S6_019	K02881
WM11_S6_019	K02884
WM11_S6_019	K02888
WM11_S6_019	K02897
WM11_S6_019	K02906
WM11_S6_019	K02909
WM11_S6_019	K02914
WM11_S6_019	K02931
WM11_S6_019	K02933
WM11_S6_019	K02935
WM11_S6_019	K02939
WM11_S6_019	K02945
WM11_S6_019	K02950
WM11_S6_019	K02963
WM11_S6_019	K02967
WM11_S6_019	K02986
WM11_S6_019	K02992
WM11_S6_019	K03040
WM11_S6_019	K03043
WM11_S6_019	K03046
WM11_S6_019	K03070
WM11_S6_019	K03076
WM11_S6_019	K03086
WM11_S6_019	K03088
WM11_S6_019	K03092
WM11_S6_019	K03098
WM11_S6_019	K03100
WM11_S6_019	K03101
WM11_S6_019	K03106
WM11_S6_019	K03110
WM11_S6_019	K03111
WM11_S6_019	K03116
WM11_S6_019	K03118
WM11_S6_019	K03153
WM11_S6_019	K03168
WM11_S6_019	K03179
WM11_S6_019	K03182
WM11_S6_019	K03183
WM11_S6_019	K03186
WM11_S6_019	K03208
WM11_S6_019	K03210
WM11_S6_019	K03215
WM11_S6_019	K03217
WM11_S6_019	K03218
WM11_S6_019	K03269
WM11_S6_019	K03270
WM11_S6_019	K03271
WM11_S6_019	K03273
WM11_S6_019	K03274
WM11_S6_019	K03281
WM11_S6_019	K03284
WM11_S6_019	K03286
WM11_S6_019	K03292
WM11_S6_019	K03294
WM11_S6_019	K03298
WM11_S6_019	K03305
WM11_S6_019	K03307
WM11_S6_019	K03313
WM11_S6_019	K03317
WM11_S6_019	K03321
WM11_S6_019	K03322
WM11_S6_019	K03324
WM11_S6_019	K03327
WM11_S6_019	K03328
WM11_S6_019	K03386
WM11_S6_019	K03392
WM11_S6_019	K03405
WM11_S6_019	K03406
WM11_S6_019	K03407
WM11_S6_019	K03408
WM11_S6_019	K03411
WM11_S6_019	K03412
WM11_S6_019	K03413
WM11_S6_019	K03424
WM11_S6_019	K03435
WM11_S6_019	K03438
WM11_S6_019	K03439
WM11_S6_019	K03442
WM11_S6_019	K03455
WM11_S6_019	K03462
WM11_S6_019	K03466
WM11_S6_019	K03468
WM11_S6_019	K03469
WM11_S6_019	K03470
WM11_S6_019	K03495
WM11_S6_019	K03496
WM11_S6_019	K03499
WM11_S6_019	K03500
WM11_S6_019	K03501
WM11_S6_019	K03517
WM11_S6_019	K03521
WM11_S6_019	K03522
WM11_S6_019	K03524
WM11_S6_019	K03525
WM11_S6_019	K03526
WM11_S6_019	K03527
WM11_S6_019	K03530
WM11_S6_019	K03544
WM11_S6_019	K03545
WM11_S6_019	K03548
WM11_S6_019	K03549
WM11_S6_019	K03550
WM11_S6_019	K03551
WM11_S6_019	K03553
WM11_S6_019	K03555
WM11_S6_019	K03561
WM11_S6_019	K03564
WM11_S6_019	K03569
WM11_S6_019	K03570
WM11_S6_019	K03572
WM11_S6_019	K03575
WM11_S6_019	K03579
WM11_S6_019	K03581
WM11_S6_019	K03584
WM11_S6_019	K03585
WM11_S6_019	K03587
WM11_S6_019	K03588
WM11_S6_019	K03589
WM11_S6_019	K03590
WM11_S6_019	K03593
WM11_S6_019	K03595
WM11_S6_019	K03596
WM11_S6_019	K03621
WM11_S6_019	K03624
WM11_S6_019	K03625
WM11_S6_019	K03628
WM11_S6_019	K03629
WM11_S6_019	K03631
WM11_S6_019	K03634
WM11_S6_019	K03640
WM11_S6_019	K03641
