bin	id
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00001
WM01_S1_026	K00006
WM01_S1_026	K00012
WM01_S1_026	K00012
WM01_S1_026	K00013
WM01_S1_026	K00013
WM01_S1_026	K00014
WM01_S1_026	K00014
WM01_S1_026	K00020
WM01_S1_026	K00023
WM01_S1_026	K00023
WM01_S1_026	K00035
WM01_S1_026	K00040
WM01_S1_026	K00052
WM01_S1_026	K00058
WM01_S1_026	K00065
WM01_S1_026	K00075
WM01_S1_026	K00075
WM01_S1_026	K00078
WM01_S1_026	K00087
WM01_S1_026	K00087
WM01_S1_026	K00108
WM01_S1_026	K00108
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00128
WM01_S1_026	K00130
WM01_S1_026	K00130
WM01_S1_026	K00133
WM01_S1_026	K00133
WM01_S1_026	K00133
WM01_S1_026	K00133
WM01_S1_026	K00133
WM01_S1_026	K00133
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00134
WM01_S1_026	K00135
WM01_S1_026	K00135
WM01_S1_026	K00135
WM01_S1_026	K00140
WM01_S1_026	K00145
WM01_S1_026	K00145
WM01_S1_026	K00145
WM01_S1_026	K00145
WM01_S1_026	K00145
WM01_S1_026	K00145
WM01_S1_026	K00147
WM01_S1_026	K00161
WM01_S1_026	K00162
WM01_S1_026	K00215
WM01_S1_026	K00215
WM01_S1_026	K00219
WM01_S1_026	K00220
WM01_S1_026	K00249
WM01_S1_026	K00249
WM01_S1_026	K00249
WM01_S1_026	K00254
WM01_S1_026	K00259
WM01_S1_026	K00259
WM01_S1_026	K00261
WM01_S1_026	K00261
WM01_S1_026	K00261
WM01_S1_026	K00261
WM01_S1_026	K00261
WM01_S1_026	K00261
WM01_S1_026	K00261
WM01_S1_026	K00265
WM01_S1_026	K00265
WM01_S1_026	K00266
WM01_S1_026	K00266
WM01_S1_026	K00266
WM01_S1_026	K00274
WM01_S1_026	K00274
WM01_S1_026	K00274
WM01_S1_026	K00274
WM01_S1_026	K00274
WM01_S1_026	K00285
WM01_S1_026	K00286
WM01_S1_026	K00290
WM01_S1_026	K00290
WM01_S1_026	K00301
WM01_S1_026	K00302
WM01_S1_026	K00303
WM01_S1_026	K00304
WM01_S1_026	K00305
WM01_S1_026	K00314
WM01_S1_026	K00315
WM01_S1_026	K00320
WM01_S1_026	K00320
WM01_S1_026	K00382
WM01_S1_026	K00382
WM01_S1_026	K00384
WM01_S1_026	K00384
WM01_S1_026	K00390
WM01_S1_026	K00457
WM01_S1_026	K00457
WM01_S1_026	K00480
WM01_S1_026	K00481
WM01_S1_026	K00499
WM01_S1_026	K00529
WM01_S1_026	K00547
WM01_S1_026	K00548
WM01_S1_026	K00548
WM01_S1_026	K00548
WM01_S1_026	K00558
WM01_S1_026	K00558
WM01_S1_026	K00567
WM01_S1_026	K00567
WM01_S1_026	K00568
WM01_S1_026	K00568
WM01_S1_026	K00602
WM01_S1_026	K00605
WM01_S1_026	K00611
WM01_S1_026	K00615
WM01_S1_026	K00615
WM01_S1_026	K00615
WM01_S1_026	K00615
WM01_S1_026	K00626
WM01_S1_026	K00626
WM01_S1_026	K00643
WM01_S1_026	K00674
WM01_S1_026	K00674
WM01_S1_026	K00674
WM01_S1_026	K00677
WM01_S1_026	K00677
WM01_S1_026	K00677
WM01_S1_026	K00688
WM01_S1_026	K00688
WM01_S1_026	K00688
WM01_S1_026	K00694
WM01_S1_026	K00694
WM01_S1_026	K00694
WM01_S1_026	K00700
WM01_S1_026	K00703
WM01_S1_026	K00703
WM01_S1_026	K00761
WM01_S1_026	K00765
WM01_S1_026	K00765
WM01_S1_026	K00790
WM01_S1_026	K00790
WM01_S1_026	K00790
WM01_S1_026	K00790
WM01_S1_026	K00799
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00812
WM01_S1_026	K00817
WM01_S1_026	K00817
WM01_S1_026	K00817
WM01_S1_026	K00820
WM01_S1_026	K00820
WM01_S1_026	K00823
WM01_S1_026	K00823
WM01_S1_026	K00830
WM01_S1_026	K00830
WM01_S1_026	K00830
WM01_S1_026	K00830
WM01_S1_026	K00831
WM01_S1_026	K00854
WM01_S1_026	K00856
WM01_S1_026	K00873
WM01_S1_026	K00873
WM01_S1_026	K00873
WM01_S1_026	K00873
WM01_S1_026	K00873
WM01_S1_026	K00874
WM01_S1_026	K00883
WM01_S1_026	K00912
WM01_S1_026	K00917
WM01_S1_026	K00917
WM01_S1_026	K00927
WM01_S1_026	K00927
WM01_S1_026	K00927
WM01_S1_026	K00927
WM01_S1_026	K00927
WM01_S1_026	K00928
WM01_S1_026	K00928
WM01_S1_026	K00928
WM01_S1_026	K00928
WM01_S1_026	K00928
WM01_S1_026	K00928
WM01_S1_026	K00930
WM01_S1_026	K00930
WM01_S1_026	K00931
WM01_S1_026	K00931
WM01_S1_026	K00931
WM01_S1_026	K00937
WM01_S1_026	K00939
WM01_S1_026	K00939
WM01_S1_026	K00943
WM01_S1_026	K00945
WM01_S1_026	K00948
WM01_S1_026	K00955
WM01_S1_026	K00955
WM01_S1_026	K00955
WM01_S1_026	K00955
WM01_S1_026	K00955
WM01_S1_026	K00955
