bin	name	count
WM01_S1_002	nan	1584
WM01_S1_002	Pyruvate fermentation to butanoate	6
WM01_S1_002	Pyruvate fermentation to ethanol I	2
WM01_S1_002	Pyruvate fermentation to ethanol II	2
WM01_S1_002	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	40
WM01_S1_002	Superpathway of clostridium acetobutylicum acidogenic fermentation	38
WM01_S1_002	Superpathway of clostridium acetobutylicum solventogenic fermentation	15
WM01_S1_002	Oxaloacetate to lysine	49
WM01_S1_002	Cysteine and methionine	44
WM01_S1_002	Histidine	77
WM01_S1_002	PEP	32
WM01_S1_002	Pyruvate fermentation to acetone	5
WM01_S1_002	Pyruvate fermentation to lactate	6
WM01_S1_002	Peptidoglycan biosynthesis	73
WM01_S1_002	Murein	5
WM01_S1_002	Pyruvate fermentation to acetate and lactate I	4
WM01_S1_002	Pyruvate fermentation to acetate I	4
WM01_S1_002	Pyruvate fermentation to acetate IV	4
WM01_S1_002	Pyruvate fermentation to propionate II (acrylate pathway)	8
WM01_S1_002	Sulfate reduction (assimilatory)	9
WM01_S1_002	(R)-acetoin biosynthesis I	6
WM01_S1_002	(s)-acetoin biosynthesis	6
WM01_S1_002	Meso-butanediol biosynthesis II	6
WM01_S1_002	Superpathway of (R,R)-butanediol biosynthesis	11
WM01_S1_002	Pyruvate fermentation to acetate and lactate II	3
WM01_S1_002	Pyruvate fermentation to acetate II	3
WM01_S1_002	Pyruvate fermentation to acetate VII	2
WM01_S1_002	Lipopolysaccharide biosynthesis	106
WM01_S1_002	N-glycan biosynthesis	68
WM01_S1_002	Pyruvate to leucine	6
WM01_S1_002	Sulfolactate degradation	3
WM01_S1_002	Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	4
WM01_S1_002	Sulfate reduction (dissimilatory)	4
WM01_S1_002	Sulfite oxidation	4
WM01_S1_002	Sulfur disproportionation	4
WM01_S1_002	Thiosulfate disproportionation	8
WM01_S1_002	Maltose	1
WM01_S1_002	Oxaloacetate to aspartate and asparagine	10
WM01_S1_002	Pyruvate fermentation to acetate V	3
WM01_S1_002	Pyruvate fermentation to acetate VI	3
WM01_S1_002	Glutamate	2
WM01_S1_002	ABC-2 type and other transporters	37
WM01_S1_002	metallic cation, iron-siderophore and vitamin b12 transporters	12
WM01_S1_002	Oligosaccharide and polyol transporters	11
WM01_S1_002	PEPtide and nickel transporters	9
WM01_S1_002	Monosaccharide transporters	1
WM01_S1_002	Mineral and organic ion transporters	6
WM01_S1_002	Sugar transporters	1
WM01_S1_002	Acetoin biosynthesis III	5
WM01_S1_002	(s,s)-butanediol biosynthesis	5
WM01_S1_002	Meso-butanediol biosynthesis I	5
WM01_S1_002	Superpathway of 2,3-butanediol biosynthesis	6
WM01_S1_002	Drug transporters	7
WM01_S1_002	Mucin type O-glycan biosynthesis	54
WM01_S1_002	Dissimilatory nitrate reduction	3
WM01_S1_002	Cellobiose	4
WM01_S1_002	Unknown transporters	2
WM01_S1_002	Organic acid transporters	2
WM01_S1_002	Metal transporters	1
WM01_S1_002	Pyruvate fermentation to acetate and alanine	1
WM01_S1_002	Pyruvate fermentation to acetate VIII	1
WM01_S1_002	Pyruvate fermentation to ethanol III	1
WM01_S1_002	Sulfoacetaldehyde degradation	1
WM01_S1_004	nan	952
WM01_S1_004	Pyruvate fermentation to butanoate	14
WM01_S1_004	Pyruvate fermentation to ethanol I	10
WM01_S1_004	Pyruvate fermentation to ethanol II	10
WM01_S1_004	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	30
WM01_S1_004	Superpathway of clostridium acetobutylicum acidogenic fermentation	28
WM01_S1_004	Superpathway of clostridium acetobutylicum solventogenic fermentation	16
WM01_S1_004	Histidine	62
WM01_S1_004	PEP	16
WM01_S1_004	Pyruvate fermentation to lactate	6
WM01_S1_004	Peptidoglycan biosynthesis	29
WM01_S1_004	Murein	7
WM01_S1_004	Oxaloacetate to lysine	32
WM01_S1_004	Cysteine and methionine	37
WM01_S1_004	(R)-acetoin biosynthesis I	2
WM01_S1_004	(s)-acetoin biosynthesis	2
WM01_S1_004	Meso-butanediol biosynthesis II	2
WM01_S1_004	Superpathway of (R,R)-butanediol biosynthesis	6
WM01_S1_004	Pyruvate fermentation to acetate and lactate I	2
WM01_S1_004	Pyruvate fermentation to acetate and lactate II	2
WM01_S1_004	Pyruvate fermentation to acetate I	2
WM01_S1_004	Pyruvate fermentation to acetate II	2
WM01_S1_004	Pyruvate fermentation to acetate IV	2
WM01_S1_004	Pyruvate fermentation to acetate VII	1
WM01_S1_004	Lipopolysaccharide biosynthesis	72
WM01_S1_004	N-glycan biosynthesis	16
WM01_S1_004	Pyruvate to leucine	4
WM01_S1_004	Sulfolactate degradation	2
WM01_S1_004	Pyruvate fermentation to acetate and alanine	2
WM01_S1_004	Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	2
WM01_S1_004	Sulfate reduction (assimilatory)	4
WM01_S1_004	Sulfate reduction (dissimilatory)	2
WM01_S1_004	Sulfite oxidation	2
WM01_S1_004	Sulfur disproportionation	2
WM01_S1_004	Thiosulfate disproportionation	3
WM01_S1_004	Pyruvate fermentation to acetone	4
WM01_S1_004	Pyruvate fermentation to propionate II (acrylate pathway)	2
WM01_S1_004	Pyruvate fermentation to acetate V	2
WM01_S1_004	Pyruvate fermentation to acetate VI	2
WM01_S1_004	Glutamate	2
WM01_S1_004	Oxaloacetate to aspartate and asparagine	4
WM01_S1_004	ABC-2 type and other transporters	26
WM01_S1_004	metallic cation, iron-siderophore and vitamin b12 transporters	14
WM01_S1_004	Phosphate and amino acid transporters	5
WM01_S1_004	PEPtide and nickel transporters	5
WM01_S1_004	Monosaccharide transporters	4
WM01_S1_004	Mineral and organic ion transporters	8
WM01_S1_004	Oligosaccharide and polyol transporters	12
WM01_S1_004	Organic acid transporters	16
WM01_S1_004	Enzyme I and hpr	2
WM01_S1_004	Acetoin biosynthesis III	4
WM01_S1_004	(s,s)-butanediol biosynthesis	4
WM01_S1_004	Meso-butanediol biosynthesis I	4
WM01_S1_004	Superpathway of 2,3-butanediol biosynthesis	5
WM01_S1_004	Drug transporters	7
WM01_S1_004	Mucin type O-glycan biosynthesis	13
WM01_S1_004	Sugar transporters	1
WM01_S1_004	Protein transporters	1
WM01_S1_004	Lipid transporters	1
WM01_S1_004	Pyruvate fermentation to acetate VIII	1
WM01_S1_004	Pyruvate fermentation to ethanol III	1
WM01_S1_004	Sulfoacetaldehyde degradation	1
WM01_S1_004	Denitrification	1
WM01_S1_006	nan	1376
WM01_S1_006	Pyruvate fermentation to butanoate	6
WM01_S1_006	Pyruvate fermentation to ethanol I	2
WM01_S1_006	Pyruvate fermentation to ethanol II	2
WM01_S1_006	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	28
WM01_S1_006	Superpathway of clostridium acetobutylicum acidogenic fermentation	27
WM01_S1_006	Superpathway of clostridium acetobutylicum solventogenic fermentation	13
WM01_S1_006	Oxaloacetate to lysine	43
WM01_S1_006	Cysteine and methionine	38
WM01_S1_006	PEP	24
WM01_S1_006	Pyruvate fermentation to acetone	5
WM01_S1_006	Pyruvate fermentation to lactate	6
WM01_S1_006	Peptidoglycan biosynthesis	77
WM01_S1_006	Murein	4
WM01_S1_006	Pyruvate fermentation to propionate II (acrylate pathway)	6
WM01_S1_006	Histidine	64
WM01_S1_006	(R)-acetoin biosynthesis I	5
WM01_S1_006	(s)-acetoin biosynthesis	5
WM01_S1_006	Meso-butanediol biosynthesis II	5
WM01_S1_006	Superpathway of (R,R)-butanediol biosynthesis	8
WM01_S1_006	Lipopolysaccharide biosynthesis	107
WM01_S1_006	N-glycan biosynthesis	59
WM01_S1_006	Pyruvate to leucine	6
WM01_S1_006	Sulfolactate degradation	3
WM01_S1_006	Pyruvate fermentation to acetate and alanine	2
WM01_S1_006	Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	4
WM01_S1_006	Sulfate reduction (assimilatory)	8
WM01_S1_006	Sulfate reduction (dissimilatory)	4
WM01_S1_006	Sulfite oxidation	4
WM01_S1_006	Sulfur disproportionation	4
WM01_S1_006	Thiosulfate disproportionation	5
WM01_S1_006	Oxaloacetate to aspartate and asparagine	13
WM01_S1_006	Pyruvate fermentation to acetate V	3
WM01_S1_006	Pyruvate fermentation to acetate VI	3
WM01_S1_006	Glutamate	3
WM01_S1_006	ABC-2 type and other transporters	29
WM01_S1_006	metallic cation, iron-siderophore and vitamin b12 transporters	9
WM01_S1_006	PEPtide and nickel transporters	8
WM01_S1_006	Monosaccharide transporters	2
WM01_S1_006	Oligosaccharide and polyol transporters	5
WM01_S1_006	Phosphate and amino acid transporters	1
WM01_S1_006	Sugar transporters	3
WM01_S1_006	Mucin type O-glycan biosynthesis	52
WM01_S1_006	Acetoin biosynthesis III	3
WM01_S1_006	(s,s)-butanediol biosynthesis	3
WM01_S1_006	Meso-butanediol biosynthesis I	3
WM01_S1_006	Superpathway of 2,3-butanediol biosynthesis	4
WM01_S1_006	Cellobiose	1
WM01_S1_006	Mineral and organic ion transporters	2
WM01_S1_006	Drug transporters	3
WM01_S1_006	Unknown transporters	1
WM01_S1_006	Protein transporters	1
WM01_S1_006	Pyruvate fermentation to acetate and lactate I	1
WM01_S1_006	Pyruvate fermentation to acetate and lactate II	2
WM01_S1_006	Pyruvate fermentation to acetate I	1
WM01_S1_006	Pyruvate fermentation to acetate II	2
WM01_S1_006	Pyruvate fermentation to acetate IV	1
WM01_S1_006	Pyruvate fermentation to acetate VII	1
WM01_S1_006	Pyruvate fermentation to acetate VIII	1
WM01_S1_006	Pyruvate fermentation to ethanol III	1
WM01_S1_006	Sulfoacetaldehyde degradation	1
WM01_S1_007	nan	1591
WM01_S1_007	Oxaloacetate to lysine	50
WM01_S1_007	Cysteine and methionine	34
WM01_S1_007	Acetoin biosynthesis III	5
WM01_S1_007	(s,s)-butanediol biosynthesis	5
WM01_S1_007	Meso-butanediol biosynthesis I	5
WM01_S1_007	Superpathway of (R,R)-butanediol biosynthesis	13
WM01_S1_007	Superpathway of 2,3-butanediol biosynthesis	9
WM01_S1_007	Histidine	79
WM01_S1_007	PEP	30
WM01_S1_007	Pyruvate fermentation to acetone	5
WM01_S1_007	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	40
WM01_S1_007	Superpathway of clostridium acetobutylicum acidogenic fermentation	38
WM01_S1_007	Superpathway of clostridium acetobutylicum solventogenic fermentation	11
WM01_S1_007	Pyruvate fermentation to lactate	7
WM01_S1_007	Peptidoglycan biosynthesis	79
WM01_S1_007	Murein	4
WM01_S1_007	Pyruvate fermentation to acetate and lactate I	3
WM01_S1_007	Pyruvate fermentation to acetate I	3
WM01_S1_007	Pyruvate fermentation to acetate IV	3
WM01_S1_007	Pyruvate fermentation to acetate and alanine	3
WM01_S1_007	Pyruvate fermentation to acetate and lactate II	4
WM01_S1_007	Pyruvate fermentation to acetate II	4
WM01_S1_007	Pyruvate fermentation to acetate V	5
WM01_S1_007	Pyruvate fermentation to acetate VI	5
WM01_S1_007	Pyruvate fermentation to acetate VIII	3
WM01_S1_007	Pyruvate fermentation to butanoate	7
WM01_S1_007	Pyruvate fermentation to ethanol III	3
WM01_S1_007	Pyruvate fermentation to propionate II (acrylate pathway)	9
WM01_S1_007	Denitrification	4
WM01_S1_007	(R)-acetoin biosynthesis I	8
WM01_S1_007	(s)-acetoin biosynthesis	8
WM01_S1_007	Meso-butanediol biosynthesis II	8
WM01_S1_007	Maltose	3
WM01_S1_007	N-glycan biosynthesis	53
WM01_S1_007	Lipopolysaccharide biosynthesis	98
WM01_S1_007	Pyruvate to leucine	6
WM01_S1_007	Sulfolactate degradation	4
WM01_S1_007	Sulfate reduction (assimilatory)	4
WM01_S1_007	Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	2
WM01_S1_007	Sulfate reduction (dissimilatory)	2
WM01_S1_007	Sulfite oxidation	2
WM01_S1_007	Sulfur disproportionation	2
WM01_S1_007	Thiosulfate disproportionation	4
WM01_S1_007	Lactose	1
WM01_S1_007	Oxaloacetate to aspartate and asparagine	13
WM01_S1_007	Glutamate	2
WM01_S1_007	ABC-2 type and other transporters	34
WM01_S1_007	metallic cation, iron-siderophore and vitamin b12 transporters	7
WM01_S1_007	Mineral and organic ion transporters	4
WM01_S1_007	Phosphate and amino acid transporters	1
WM01_S1_007	PEPtide and nickel transporters	6
WM01_S1_007	Monosaccharide transporters	4
WM01_S1_007	Oligosaccharide and polyol transporters	10
WM01_S1_007	Sugar transporters	6
WM01_S1_007	Mucin type O-glycan biosynthesis	50
WM01_S1_007	Drug transporters	10
WM01_S1_007	Organic acid transporters	4
WM01_S1_007	Dissimilatory nitrate reduction	4
WM01_S1_007	Sucrose	1
WM01_S1_007	Cellobiose	11
WM01_S1_007	Unknown transporters	3
WM01_S1_007	Protein transporters	1
WM01_S1_007	Metal transporters	1
WM01_S1_007	Pyruvate fermentation to acetate VII	1
WM01_S1_007	Pyruvate fermentation to ethanol I	1
WM01_S1_007	Pyruvate fermentation to ethanol II	1
WM01_S1_007	Sulfoacetaldehyde degradation	1
WM01_S1_012	nan	1095
WM01_S1_012	Oxaloacetate to lysine	40
WM01_S1_012	Cysteine and methionine	38
WM01_S1_012	PEP	28
WM01_S1_012	Pyruvate fermentation to acetone	4
WM01_S1_012	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	28
WM01_S1_012	Superpathway of clostridium acetobutylicum acidogenic fermentation	26
WM01_S1_012	Superpathway of clostridium acetobutylicum solventogenic fermentation	10
WM01_S1_012	Pyruvate fermentation to lactate	4
WM01_S1_012	Peptidoglycan biosynthesis	62
WM01_S1_012	Murein	4
WM01_S1_012	Histidine	61
WM01_S1_012	Pyruvate fermentation to acetate and lactate I	2
WM01_S1_012	Pyruvate fermentation to acetate I	2
WM01_S1_012	Pyruvate fermentation to acetate IV	2
WM01_S1_012	Pyruvate fermentation to acetate VII	2
WM01_S1_012	Superpathway of 2,3-butanediol biosynthesis	5
