bin	name	count
WM01_S1_002	Amino acid metabolism	284
WM01_S1_002	Carbohydrate metabolism	263
WM01_S1_002	Glycan biosynthesis and metabolism	116
WM01_S1_002	Energy metabolism	121
WM01_S1_002	Metabolism of other amino acids	52
WM01_S1_002	Cancer: overview	24
WM01_S1_002	Cardiovascular disease	25
WM01_S1_002	Protein families: signaling and cellular processes	663
WM01_S1_002	Metabolism of terpenoids and polyketides	67
WM01_S1_002	Lipid metabolism	134
WM01_S1_002	Metabolism of cofactors and vitamins	194
WM01_S1_002	Biosynthesis of other secondary metabolites	67
WM01_S1_002	Protein families: metabolism	432
WM01_S1_002	Xenobiotics biodegradation and metabolism	61
WM01_S1_002	Nucleotide metabolism	73
WM01_S1_002	Unclassified: metabolism	199
WM01_S1_002	Signal transduction	245
WM01_S1_002	Infectious disease: bacterial	40
WM01_S1_002	Neurodegenerative disease	39
WM01_S1_002	Protein families: genetic information processing	579
WM01_S1_002	Endocrine system	36
WM01_S1_002	Poorly characterized	92
WM01_S1_002	Cell growth and death	25
WM01_S1_002	Excretory system	1
WM01_S1_002	Nervous system	12
WM01_S1_002	Substance dependence	6
WM01_S1_002	Drug resistance: antineoplastic	4
WM01_S1_002	Cancer: specific types	6
WM01_S1_002	Transport and catabolism	56
WM01_S1_002	Folding, sorting and degradation	35
WM01_S1_002	Translation	65
WM01_S1_002	Digestive system	40
WM01_S1_002	Cellular community - prokaryotes	81
WM01_S1_002	Drug resistance: antimicrobial	55
WM01_S1_002	Endocrine and metabolic disease	24
WM01_S1_002	Environmental adaptation	21
WM01_S1_002	Infectious disease: viral	31
WM01_S1_002	Replication and repair	84
WM01_S1_002	Aging	13
WM01_S1_002	Infectious disease: parasitic	12
WM01_S1_002	Development and regeneration	2
WM01_S1_002	Unclassified: signaling and cellular processes	57
WM01_S1_002	Membrane transport	60
WM01_S1_002	Cell motility	17
WM01_S1_002	Transcription	3
WM01_S1_002	Immune system	17
WM01_S1_002	Unclassified: genetic information processing	34
WM01_S1_002	Immune disease	1
WM01_S1_002	Signaling molecules and interaction	32
WM01_S1_002	Cellular community - eukaryotes	29
WM01_S1_004	Carbohydrate metabolism	191
WM01_S1_004	Biosynthesis of other secondary metabolites	39
WM01_S1_004	Glycan biosynthesis and metabolism	64
WM01_S1_004	Amino acid metabolism	205
WM01_S1_004	Energy metabolism	106
WM01_S1_004	Excretory system	5
WM01_S1_004	Signal transduction	77
WM01_S1_004	Metabolism of cofactors and vitamins	119
WM01_S1_004	Metabolism of terpenoids and polyketides	61
WM01_S1_004	Lipid metabolism	88
WM01_S1_004	Protein families: signaling and cellular processes	445
WM01_S1_004	Protein families: metabolism	290
WM01_S1_004	Nucleotide metabolism	75
WM01_S1_004	Xenobiotics biodegradation and metabolism	50
WM01_S1_004	Metabolism of other amino acids	45
WM01_S1_004	Infectious disease: bacterial	31
WM01_S1_004	Neurodegenerative disease	91
WM01_S1_004	Cardiovascular disease	23
WM01_S1_004	Protein families: genetic information processing	506
WM01_S1_004	Unclassified: metabolism	106
WM01_S1_004	Environmental adaptation	29
WM01_S1_004	Endocrine and metabolic disease	19
WM01_S1_004	Poorly characterized	67
WM01_S1_004	Drug resistance: antineoplastic	6
WM01_S1_004	Endocrine system	7
WM01_S1_004	Circulatory system	5
WM01_S1_004	Transport and catabolism	14
WM01_S1_004	Cancer: overview	19
WM01_S1_004	Folding, sorting and degradation	32
WM01_S1_004	Translation	63
WM01_S1_004	Digestive system	2
WM01_S1_004	Cellular community - prokaryotes	114
WM01_S1_004	Drug resistance: antimicrobial	37
WM01_S1_004	Aging	14
WM01_S1_004	Cancer: specific types	4
WM01_S1_004	Infectious disease: viral	3
WM01_S1_004	Replication and repair	73
WM01_S1_004	Cell growth and death	22
WM01_S1_004	Nervous system	10
WM01_S1_004	Immune disease	2
WM01_S1_004	Unclassified: signaling and cellular processes	52
WM01_S1_004	Membrane transport	78
WM01_S1_004	Cell motility	48
WM01_S1_004	Immune system	8
WM01_S1_004	Transcription	4
WM01_S1_004	Unclassified: genetic information processing	47
