bin	name	count
WM01_S1_016	21_Cellular response to stress	139
WM01_S1_016	06_Amino acid utilization biosynthesis metabolism	420
WM01_S1_016	05_Fatty acid oxidation	77
WM01_S1_016	15_Methylotrophy	19
WM01_S1_016	02_Homoacetogenesis	35
WM01_S1_016	20_Hydrolysis of polymers	42
WM01_S1_016	19_Saccharide and derivated synthesis	102
WM01_S1_016	07_Nucleic acid metabolism	67
WM01_S1_016	14_Methanogenesis	39
WM01_S1_016	16_Embden Meyerhof-Parnos (EMP)	23
WM01_S1_016	17_Gluconeogenesis	12
WM01_S1_016	10_TCA cycle	9
WM01_S1_016	11_Nitrogen cycle	9
WM01_S1_016	18_Sulfur compounds metabolism	8
WM01_S1_016	08_Hydrocarbon degradation	16
WM01_S1_016	09_Carbohydrate Active enzyme - CAZy	47
WM01_S1_016	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
WM01_S1_016	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM01_S1_016	12_Transporters	105
WM01_S1_017	01_Fermentation	150
WM01_S1_017	06_Amino acid utilization biosynthesis metabolism	119
WM01_S1_017	07_Nucleic acid metabolism	30
WM01_S1_017	15_Methylotrophy	5
WM01_S1_017	21_Cellular response to stress	111
WM01_S1_017	14_Methanogenesis	14
WM01_S1_017	05_Fatty acid oxidation	20
WM01_S1_017	08_Hydrocarbon degradation	6
WM01_S1_017	02_Homoacetogenesis	22
WM01_S1_017	09_Carbohydrate Active enzyme - CAZy	20
WM01_S1_017	19_Saccharide and derivated synthesis	70
WM01_S1_017	20_Hydrolysis of polymers	24
WM01_S1_017	18_Sulfur compounds metabolism	14
WM01_S1_017	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
WM01_S1_017	17_Gluconeogenesis	5
WM01_S1_017	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
WM01_S1_017	16_Embden Meyerhof-Parnos (EMP)	10
WM01_S1_017	10_TCA cycle	3
WM01_S1_017	12_Transporters	47
WM01_S1_023	01_Fermentation	89
WM01_S1_023	21_Cellular response to stress	96
WM01_S1_023	06_Amino acid utilization biosynthesis metabolism	190
WM01_S1_023	05_Fatty acid oxidation	19
WM01_S1_023	10_TCA cycle	5
WM01_S1_023	18_Sulfur compounds metabolism	3
WM01_S1_023	07_Nucleic acid metabolism	43
WM01_S1_023	15_Methylotrophy	6
WM01_S1_023	14_Methanogenesis	1
WM01_S1_023	02_Homoacetogenesis	18
WM01_S1_023	19_Saccharide and derivated synthesis	175
WM01_S1_023	09_Carbohydrate Active enzyme - CAZy	27
WM01_S1_023	20_Hydrolysis of polymers	68
WM01_S1_023	16_Embden Meyerhof-Parnos (EMP)	14
WM01_S1_023	17_Gluconeogenesis	6
WM01_S1_023	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	8
WM01_S1_023	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	2
WM01_S1_023	08_Hydrocarbon degradation	2
WM01_S1_023	11_Nitrogen cycle	4
WM01_S1_023	12_Transporters	51
WM01_S1_025	01_Fermentation	467
WM01_S1_025	21_Cellular response to stress	892
WM01_S1_025	20_Hydrolysis of polymers	154
WM01_S1_025	06_Amino acid utilization biosynthesis metabolism	511
WM01_S1_025	08_Hydrocarbon degradation	14
WM01_S1_025	15_Methylotrophy	26
WM01_S1_025	07_Nucleic acid metabolism	99
WM01_S1_025	19_Saccharide and derivated synthesis	354
WM01_S1_025	14_Methanogenesis	24
WM01_S1_025	05_Fatty acid oxidation	43
WM01_S1_025	10_TCA cycle	23
WM01_S1_025	11_Nitrogen cycle	20
WM01_S1_025	18_Sulfur compounds metabolism	59
WM01_S1_025	13_Hydrogen metabolism	4
WM01_S1_025	02_Homoacetogenesis	94
WM01_S1_025	09_Carbohydrate Active enzyme - CAZy	79
WM01_S1_025	16_Embden Meyerhof-Parnos (EMP)	31
WM01_S1_025	17_Gluconeogenesis	19
WM01_S1_025	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	11
WM01_S1_025	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	8
WM01_S1_025	12_Transporters	158
WM01_S1_033	01_Fermentation	102
WM01_S1_033	21_Cellular response to stress	337
WM01_S1_033	06_Amino acid utilization biosynthesis metabolism	186
WM01_S1_033	08_Hydrocarbon degradation	11
WM01_S1_033	20_Hydrolysis of polymers	33
WM01_S1_033	10_TCA cycle	6
WM01_S1_033	05_Fatty acid oxidation	10
WM01_S1_033	07_Nucleic acid metabolism	26
WM01_S1_033	11_Nitrogen cycle	4
WM01_S1_033	18_Sulfur compounds metabolism	1
WM01_S1_033	09_Carbohydrate Active enzyme - CAZy	23
WM01_S1_033	19_Saccharide and derivated synthesis	76
WM01_S1_033	15_Methylotrophy	1
WM01_S1_033	14_Methanogenesis	10
WM01_S1_033	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	2
WM01_S1_033	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
WM01_S1_033	16_Embden Meyerhof-Parnos (EMP)	3
WM01_S1_033	17_Gluconeogenesis	1
WM01_S1_033	12_Transporters	46
WM01_S1_033	02_Homoacetogenesis	19
WM01_S1_034	01_Fermentation	31
WM01_S1_034	21_Cellular response to stress	37
WM01_S1_034	15_Methylotrophy	3
WM01_S1_034	19_Saccharide and derivated synthesis	27
WM01_S1_034	02_Homoacetogenesis	6
WM01_S1_034	16_Embden Meyerhof-Parnos (EMP)	13
WM01_S1_034	17_Gluconeogenesis	5
WM01_S1_034	07_Nucleic acid metabolism	52
WM01_S1_034	08_Hydrocarbon degradation	4
WM01_S1_034	06_Amino acid utilization biosynthesis metabolism	46
WM01_S1_034	09_Carbohydrate Active enzyme - CAZy	6
WM01_S1_034	18_Sulfur compounds metabolism	6
WM01_S1_034	20_Hydrolysis of polymers	6
