bin	name	count
WM02_S2_012	Not Included in Pathway or Brite	52
WM02_S2_012	Organismal Systems	7
WM02_S2_012	Human Diseases	10
WM02_S2_012	Cellular Processes	19
WM02_S2_012	Environmental Information Processing	37
WM02_S2_012	Genetic Information Processing	21
WM02_S2_014	Metabolism	842
WM02_S2_014	Cellular Processes	121
WM02_S2_014	Human Diseases	97
WM02_S2_014	Brite Hierarchies	1072
WM02_S2_014	Not Included in Pathway or Brite	245
WM02_S2_014	Environmental Information Processing	192
WM02_S2_014	Organismal Systems	35
WM02_S2_014	Genetic Information Processing	79
WM02_S2_017	Metabolism	1701
WM02_S2_017	Cellular Processes	164
WM02_S2_017	Human Diseases	159
WM02_S2_017	Brite Hierarchies	1619
WM02_S2_017	Not Included in Pathway or Brite	484
WM02_S2_017	Environmental Information Processing	231
WM02_S2_017	Organismal Systems	71
WM02_S2_017	Genetic Information Processing	185
WM02_S2_019	Metabolism	348
WM02_S2_019	Environmental Information Processing	105
WM02_S2_019	Brite Hierarchies	468
WM02_S2_019	Organismal Systems	16
WM02_S2_019	Human Diseases	115
WM02_S2_019	Not Included in Pathway or Brite	118
WM02_S2_019	Cellular Processes	92
WM02_S2_019	Genetic Information Processing	40
WM02_S2_020	Metabolism	1156
WM02_S2_020	Human Diseases	150
WM02_S2_020	Brite Hierarchies	1407
WM02_S2_020	Not Included in Pathway or Brite	379
WM02_S2_020	Environmental Information Processing	268
WM02_S2_020	Organismal Systems	75
WM02_S2_020	Cellular Processes	251
WM02_S2_020	Genetic Information Processing	125
WM02_S2_022	Metabolism	256
WM02_S2_022	Environmental Information Processing	55
WM02_S2_022	Brite Hierarchies	294
WM02_S2_022	Not Included in Pathway or Brite	76
WM02_S2_022	Human Diseases	30
WM02_S2_022	Cellular Processes	50
WM02_S2_022	Organismal Systems	10
WM02_S2_022	Genetic Information Processing	19
WM02_S2_024	Metabolism	193
WM02_S2_024	Brite Hierarchies	339
WM02_S2_024	Not Included in Pathway or Brite	64
WM02_S2_024	Environmental Information Processing	65
WM02_S2_024	Human Diseases	39
WM02_S2_024	Organismal Systems	23
WM02_S2_024	Cellular Processes	53
WM02_S2_024	Genetic Information Processing	21
WM02_S2_026	Metabolism	1027
WM02_S2_026	Environmental Information Processing	154
WM02_S2_026	Cellular Processes	83
WM02_S2_026	Human Diseases	135
WM02_S2_026	Brite Hierarchies	1064
WM02_S2_026	Not Included in Pathway or Brite	257
WM02_S2_026	Organismal Systems	60
WM02_S2_026	Genetic Information Processing	145
WM02_S2_030	Metabolism	613
WM02_S2_030	Environmental Information Processing	104
WM02_S2_030	Organismal Systems	19
WM02_S2_030	Human Diseases	84
WM02_S2_030	Brite Hierarchies	854
WM02_S2_030	Not Included in Pathway or Brite	174
WM02_S2_030	Cellular Processes	77
WM02_S2_030	Genetic Information Processing	90
WM02_S2_033	Metabolism	362
WM02_S2_033	Human Diseases	44
WM02_S2_033	Brite Hierarchies	395
WM02_S2_033	Environmental Information Processing	59
WM02_S2_033	Organismal Systems	15
WM02_S2_033	Not Included in Pathway or Brite	118
WM02_S2_033	Genetic Information Processing	47
WM02_S2_033	Cellular Processes	56
WM02_S2_034	Metabolism	1121
WM02_S2_034	Environmental Information Processing	155
WM02_S2_034	Cellular Processes	189
WM02_S2_034	Human Diseases	335
WM02_S2_034	Brite Hierarchies	1070
WM02_S2_034	Not Included in Pathway or Brite	266
WM02_S2_034	Organismal Systems	92
WM02_S2_034	Genetic Information Processing	115
WM02_S2_036	Metabolism	1008
WM02_S2_036	Organismal Systems	41
WM02_S2_036	Human Diseases	55
WM02_S2_036	Brite Hierarchies	683
WM02_S2_036	Environmental Information Processing	90
WM02_S2_036	Not Included in Pathway or Brite	195
WM02_S2_036	Cellular Processes	81
WM02_S2_036	Genetic Information Processing	159
WM02_S2_040	Metabolism	288
WM02_S2_040	Human Diseases	41
WM02_S2_040	Brite Hierarchies	428
WM02_S2_040	Environmental Information Processing	33
WM02_S2_040	Not Included in Pathway or Brite	57
WM02_S2_040	Genetic Information Processing	134
WM02_S2_040	Organismal Systems	10
WM02_S2_040	Cellular Processes	24
WM02_S2_041	Metabolism	866
WM02_S2_041	Environmental Information Processing	258
WM02_S2_041	Organismal Systems	60
WM02_S2_041	Not Included in Pathway or Brite	359
WM02_S2_041	Brite Hierarchies	1287
WM02_S2_041	Human Diseases	179
WM02_S2_041	Cellular Processes	236
WM02_S2_041	Genetic Information Processing	128
WM02_S2_043	Metabolism	291
WM02_S2_043	Environmental Information Processing	50
WM02_S2_043	Organismal Systems	32
WM02_S2_043	Brite Hierarchies	548
WM02_S2_043	Human Diseases	129
WM02_S2_043	Not Included in Pathway or Brite	85
WM02_S2_043	Genetic Information Processing	113
WM02_S2_043	Cellular Processes	53
WM02_S2_044	Metabolism	775
WM02_S2_044	Cellular Processes	146
WM02_S2_044	Human Diseases	128
WM02_S2_044	Brite Hierarchies	982
WM02_S2_044	Environmental Information Processing	191
WM02_S2_044	Not Included in Pathway or Brite	204
WM02_S2_044	Organismal Systems	30
WM02_S2_044	Genetic Information Processing	113
WM02_S2_047	Metabolism	1052
WM02_S2_047	Cellular Processes	235
WM02_S2_047	Human Diseases	175
WM02_S2_047	Brite Hierarchies	1027
WM02_S2_047	Organismal Systems	81
WM02_S2_047	Not Included in Pathway or Brite	231
WM02_S2_047	Environmental Information Processing	253
WM02_S2_047	Genetic Information Processing	121
WM02_S2_049	Metabolism	978
WM02_S2_049	Environmental Information Processing	111
WM02_S2_049	Brite Hierarchies	769
WM02_S2_049	Not Included in Pathway or Brite	246
WM02_S2_049	Human Diseases	73
WM02_S2_049	Organismal Systems	77
WM02_S2_049	Genetic Information Processing	126
WM02_S2_049	Cellular Processes	72
WM02_S2_050	Metabolism	662
WM02_S2_050	Environmental Information Processing	106
WM02_S2_050	Organismal Systems	42
WM02_S2_050	Human Diseases	66
WM02_S2_050	Brite Hierarchies	725
WM02_S2_050	Cellular Processes	100
WM02_S2_050	Genetic Information Processing	102
WM02_S2_050	Not Included in Pathway or Brite	129
WM02_S2_052	Metabolism	810
WM02_S2_052	Environmental Information Processing	125
WM02_S2_052	Brite Hierarchies	860
WM02_S2_052	Organismal Systems	33
WM02_S2_052	Human Diseases	68
WM02_S2_052	Not Included in Pathway or Brite	178
WM02_S2_052	Cellular Processes	147
WM02_S2_052	Genetic Information Processing	93
WM03_S3_001	Metabolism	1698
WM03_S3_001	Environmental Information Processing	404
WM03_S3_001	Human Diseases	219
WM03_S3_001	Brite Hierarchies	1941
WM03_S3_001	Not Included in Pathway or Brite	478
WM03_S3_001	Organismal Systems	96
WM03_S3_001	Cellular Processes	225
WM03_S3_001	Genetic Information Processing	150
WM03_S3_002	Metabolism	1208
WM03_S3_002	Environmental Information Processing	136
WM03_S3_002	Cellular Processes	106
WM03_S3_002	Human Diseases	150
WM03_S3_002	Brite Hierarchies	1082
WM03_S3_002	Not Included in Pathway or Brite	301
WM03_S3_002	Organismal Systems	63
WM03_S3_002	Genetic Information Processing	162
WM03_S3_003	Metabolism	707
WM03_S3_003	Brite Hierarchies	1065
WM03_S3_003	Environmental Information Processing	262
WM03_S3_003	Human Diseases	103
WM03_S3_003	Organismal Systems	38
WM03_S3_003	Not Included in Pathway or Brite	232
WM03_S3_003	Genetic Information Processing	107
WM03_S3_003	Cellular Processes	195
WM03_S3_007	Metabolism	967
WM03_S3_007	Environmental Information Processing	97
WM03_S3_007	Cellular Processes	77
WM03_S3_007	Human Diseases	115
WM03_S3_007	Brite Hierarchies	961
WM03_S3_007	Not Included in Pathway or Brite	192
WM03_S3_007	Organismal Systems	57
WM03_S3_007	Genetic Information Processing	181
WM03_S3_008	Metabolism	961
WM03_S3_008	Cellular Processes	162
WM03_S3_008	Human Diseases	191
WM03_S3_008	Brite Hierarchies	1104
