	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU3020	0	31	13	0	12	10	24	8	10	11	1	0	4	4	6	3	30	84	20	5
OTU3021	0	0	0	0	0	4	104	111	45	12	0	0	0	0	0	0	0	0	0	0
OTU3022	0	0	0	1	5	2	4	1	21	0	0	0	2	2	4	3	24	134	44	29
OTU3023	0	18	38	0	14	132	12	1	40	15	5	0	0	0	0	0	1	0	0	0
OTU3024	0	27	2	1	9	13	21	58	74	15	0	0	1	1	2	1	36	6	4	4
OTU3025	0	1	6	262	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0
OTU3026	0	19	1	4	55	37	37	0	6	0	0	0	0	7	0	0	24	76	9	0
OTU3027	0	7	2	19	11	74	38	36	46	22	1	0	0	1	0	0	6	4	1	7
OTU3028	0	33	13	0	67	3	17	50	48	13	1	1	0	3	10	2	3	6	5	0
OTU3029	0	0	0	0	39	42	57	59	60	0	3	8	0	0	1	0	6	0	0	0
OTU3030	0	3	0	0	8	2	0	1	5	0	0	0	2	4	0	1	11	210	13	14
OTU3031	0	3	0	1	0	1	5	12	15	2	0	0	0	3	6	0	37	134	41	14
OTU3032	0	12	15	0	11	14	23	149	25	14	0	1	0	0	0	0	2	5	1	2
OTU3033	0	2	2	0	0	5	12	110	79	41	1	6	0	10	2	0	4	0	0	0
OTU3034	7	1	9	92	3	0	20	46	73	19	1	0	0	0	0	0	1	1	1	0
OTU3035	0	0	0	0	0	0	28	92	94	18	7	7	0	0	0	2	1	24	1	0
OTU3036	0	0	12	22	13	14	68	67	62	15	0	0	0	0	0	0	0	0	0	0
OTU3037	0	0	6	72	17	23	47	33	44	25	5	1	0	0	0	0	0	0	0	0
OTU3038	0	12	9	7	1	2	9	5	13	6	0	0	3	8	15	11	35	67	37	33
OTU3039	0	14	0	1	0	10	5	9	1	4	0	0	0	2	0	0	34	171	19	3
OTU3040	0	0	0	4	3	1	13	60	36	3	0	0	12	4	0	0	26	72	38	1
OTU3041	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	228	31
OTU3043	0	1	0	3	0	1	3	6	5	1	0	0	1	2	4	3	19	166	33	24
OTU3044	246	6	1	4	1	7	1	0	4	0	0	0	0	2	0	0	0	0	0	0
OTU3045	0	0	0	0	0	198	0	0	0	6	0	0	3	0	2	0	7	56	0	0
OTU3046	0	23	5	0	2	35	18	86	50	45	0	0	0	1	0	0	0	3	4	0
OTU3047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	105	31	9	3
OTU3048	0	29	22	1	46	4	25	40	23	37	7	3	0	0	0	0	2	24	5	4
OTU3049	0	7	0	1	0	7	14	76	36	0	0	1	0	0	0	0	26	79	21	4
OTU3050	0	0	0	124	13	81	18	11	17	0	0	0	0	0	0	0	1	3	3	1
OTU3051	0	23	1	0	0	6	5	89	130	14	1	0	0	0	0	1	1	0	1	0
OTU3052	0	12	19	18	10	28	37	41	92	8	3	4	0	0	0	0	0	0	0	0
OTU3053	0	1	0	0	10	2	0	21	136	22	1	1	0	0	0	1	16	47	14	0
OTU3054	0	6	0	67	0	0	0	0	1	3	1	7	1	0	0	6	3	117	0	59
OTU3055	0	4	0	0	0	3	13	19	9	5	0	0	0	4	0	0	42	114	23	35
OTU3056	0	2	1	1	1	4	27	46	32	16	1	1	6	46	15	3	16	24	6	22
OTU3057	0	29	0	0	0	4	0	237	0	0	0	0	0	0	0	0	0	0	0	0
OTU3058	0	8	0	0	0	2	52	80	23	15	0	2	1	0	0	0	35	26	20	6
OTU3059	0	3	0	191	60	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3060	0	36	11	133	5	2	10	11	5	1	0	0	1	0	0	3	11	24	6	11
OTU3061	0	13	2	0	1	5	9	200	29	8	0	0	0	0	0	0	1	1	0	0
OTU3062	0	81	0	0	0	0	0	0	0	0	0	0	8	34	0	12	104	3	1	26
OTU3063	0	3	4	251	0	2	3	1	1	3	0	0	0	0	0	0	0	1	0	0
OTU3064	0	14	0	0	3	19	39	59	50	9	0	0	1	0	0	0	53	9	6	7
OTU3065	0	4	0	4	0	19	51	119	39	1	0	0	2	3	1	0	4	13	8	0
OTU3066	0	19	0	3	8	2	7	6	10	4	0	1	3	0	2	0	31	116	29	27
OTU3067	0	7	0	0	0	0	0	19	42	0	0	0	2	2	0	6	20	128	40	2
OTU3068	0	15	0	1	5	1	0	136	3	2	0	1	1	2	3	4	31	19	2	41
OTU3069	0	3	2	1	0	1	2	5	13	0	0	1	3	0	5	0	67	101	44	19
OTU3070	0	0	1	2	10	7	101	50	57	36	3	0	0	0	0	0	0	0	0	0
OTU3071	255	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	5	1
OTU3072	0	8	0	0	6	1	0	0	5	0	0	0	2	0	0	0	228	0	8	8
OTU3073	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3074	0	20	3	0	4	4	37	23	101	20	3	1	0	4	22	4	3	0	7	10
OTU3075	0	262	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0
OTU3076	0	1	8	0	6	0	6	47	13	5	0	0	0	41	31	54	52	0	0	2
OTU3077	0	127	0	0	26	61	16	14	17	5	0	0	0	0	0	0	0	0	0	0
OTU3078	0	1	0	0	0	11	24	91	58	9	0	0	1	1	0	1	23	32	5	8
OTU3079	0	6	0	0	1	1	8	22	18	9	0	0	0	1	0	1	51	104	34	9
OTU3080	0	12	1	9	0	9	19	115	87	9	1	1	0	0	0	0	1	1	0	0
OTU3081	0	5	0	0	0	2	21	21	6	4	0	0	8	0	2	0	32	131	32	1
OTU3082	0	5	1	1	7	6	54	81	90	14	4	0	0	0	0	0	0	1	1	0
OTU3083	0	6	0	0	0	2	223	0	0	0	0	0	0	0	0	0	0	23	11	0
OTU3084	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	249	0	5	0
OTU3085	0	6	0	11	3	5	23	14	28	4	0	1	1	0	12	0	50	70	13	24
OTU3086	0	0	243	0	0	0	3	11	7	0	0	1	0	0	0	0	0	0	0	0
OTU3087	0	1	0	0	11	56	30	16	8	14	0	1	1	15	4	8	26	38	17	18
OTU3088	0	38	3	3	82	53	30	13	0	0	1	0	0	0	0	4	1	22	9	5
OTU3089	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3090	0	7	0	4	0	0	6	1	14	0	0	0	0	2	11	0	22	83	67	47
OTU3091	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3092	1	1	0	0	0	4	1	3	4	4	0	0	1	2	0	0	31	153	39	19
OTU3093	0	5	0	0	0	0	1	51	119	2	0	0	2	0	0	0	37	41	4	0
OTU3094	0	72	0	0	93	0	20	0	27	5	0	0	8	0	11	0	0	0	16	10
OTU3095	0	0	0	0	0	0	50	120	30	8	1	0	0	0	0	0	7	24	22	0
OTU3096	0	1	0	0	1	0	10	4	12	2	0	0	0	0	0	5	33	141	38	15
OTU3097	0	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	171	36	48
OTU3098	0	10	2	0	2	8	30	30	56	23	0	0	1	0	0	0	2	19	45	34
OTU3099	0	0	0	0	1	1	11	8	4	1	0	0	5	0	0	2	4	199	23	3
OTU3100	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3101	0	2	0	1	0	0	15	4	6	1	0	0	1	0	3	0	16	157	40	16
OTU3102	0	0	259	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU3103	0	27	24	0	31	12	27	40	33	20	0	0	0	2	0	2	5	5	1	32
OTU3104	0	10	0	0	0	1	0	11	4	2	0	0	0	0	0	1	31	155	31	15
OTU3105	0	1	0	2	0	0	36	73	50	4	0	0	1	0	0	0	16	55	15	8
OTU3106	0	0	260	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3107	0	1	64	0	16	88	8	59	9	11	0	0	0	2	0	0	0	0	3	0
OTU3108	0	1	0	0	0	0	48	8	1	2	0	0	0	0	2	0	20	136	15	28
OTU3109	0	0	0	0	6	11	80	42	17	9	0	0	1	0	0	0	20	53	0	22
OTU3110	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3111	0	26	0	21	8	3	1	16	15	3	0	0	0	8	0	0	0	139	20	0
OTU3112	0	3	0	1	1	1	36	31	39	16	0	0	0	0	12	1	10	100	4	4
OTU3113	0	0	0	0	34	36	111	0	22	56	0	0	0	0	0	0	0	0	0	0
OTU3114	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3115	0	0	0	0	0	1	45	134	45	7	0	0	0	0	0	0	1	0	8	18
OTU3116	0	0	0	0	0	0	48	18	6	0	0	0	2	7	105	1	8	27	22	15
OTU3117	0	129	42	0	33	16	6	12	12	6	0	0	0	0	3	0	0	0	0	0
OTU3118	0	5	0	0	4	0	77	82	34	10	1	0	0	0	3	0	22	10	11	0
OTU3119	0	1	2	6	7	12	0	6	224	1	0	0	0	0	0	0	0	0	0	0
OTU3120	0	6	0	0	15	3	11	17	5	0	0	1	2	0	0	4	54	113	8	20
OTU3121	0	0	0	10	5	29	51	97	29	2	1	2	0	3	0	3	0	0	12	15
OTU3122	0	10	0	1	2	3	30	66	29	4	0	0	0	0	1	1	17	59	18	17
OTU3123	0	29	54	66	34	28	15	15	12	1	4	0	0	0	0	0	0	0	0	0
OTU3124	0	2	1	0	4	35	118	23	55	3	0	11	0	0	1	1	3	1	0	0
OTU3125	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU3126	0	49	58	0	52	23	16	22	25	12	0	0	0	0	0	0	0	1	0	0
OTU3127	0	4	0	0	0	4	13	41	28	19	0	0	0	0	5	0	41	78	12	13
OTU3128	0	17	0	0	0	0	4	0	3	0	0	0	0	3	9	65	120	19	18	0
OTU3129	0	0	0	0	0	3	6	7	36	2	0	0	1	0	0	0	0	73	100	30
OTU3130	0	130	48	0	34	6	6	3	10	5	0	0	0	0	1	1	4	4	4	2
OTU3131	0	1	0	2	5	20	7	25	13	3	0	0	6	3	3	2	7	97	45	18
OTU3132	0	0	0	0	0	0	3	40	4	0	0	0	12	3	2	0	50	110	27	6
OTU3133	0	26	9	6	33	40	31	13	88	6	3	2	0	0	0	0	0	0	0	0
OTU3134	0	16	0	30	10	25	25	77	39	22	4	4	0	0	0	0	0	0	5	0
OTU3135	0	4	0	0	0	4	39	72	57	12	0	0	0	0	0	0	0	50	5	14
OTU3136	75	9	112	31	0	13	8	6	3	0	0	0	0	0	0	0	0	0	0	0
OTU3137	0	0	7	0	220	3	9	3	7	8	0	0	0	0	0	0	0	0	0	0
OTU3138	0	1	0	7	0	49	7	8	7	7	0	0	1	0	0	0	9	116	41	4
OTU3139	0	2	1	2	0	1	2	0	0	0	0	0	1	0	0	3	19	182	27	17
OTU3140	0	20	0	12	7	32	38	66	61	15	3	2	0	0	0	0	0	0	0	0
OTU3141	0	6	8	0	4	4	79	38	58	1	1	38	1	3	0	6	4	4	1	0
OTU3142	0	5	243	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0
OTU3143	0	50	0	0	0	6	0	84	87	0	0	0	0	0	9	0	20	0	0	0
OTU3144	0	1	4	0	6	19	4	50	55	12	0	0	0	1	0	6	42	17	11	27
OTU3145	0	0	2	0	1	3	17	100	48	0	0	0	16	2	9	8	2	22	17	8
OTU3146	0	3	3	6	3	6	7	2	5	3	0	1	8	60	12	28	22	61	14	11
OTU3147	0	1	0	0	0	18	8	21	5	1	0	0	1	0	10	0	58	92	21	19
OTU3148	0	21	1	200	3	3	8	3	8	3	0	0	0	0	0	0	0	2	3	0
OTU3149	137	5	11	31	9	27	8	12	11	4	0	0	0	0	0	0	0	0	0	0
OTU3150	0	30	2	0	127	50	1	24	13	5	2	0	0	0	0	0	0	0	0	0
OTU3151	0	0	0	5	3	0	45	101	77	21	1	1	0	0	0	0	0	0	0	0
OTU3152	0	11	0	2	1	2	42	80	26	9	0	0	2	3	0	0	0	56	7	13
OTU3153	0	38	28	107	42	21	6	5	3	1	0	2	0	0	0	0	0	1	0	0
OTU3154	0	2	0	0	0	0	0	0	0	0	0	0	0	0	116	2	12	72	45	5
OTU3155	0	7	0	28	33	43	31	34	33	6	1	1	0	0	0	1	1	30	3	2
OTU3156	0	0	97	0	0	0	17	49	53	3	0	0	4	0	0	0	4	20	3	4
OTU3157	0	20	16	0	14	32	56	60	43	9	1	1	0	0	0	0	0	2	0	0
OTU3158	0	0	0	0	5	5	90	63	68	22	0	0	0	0	0	0	0	1	0	0
OTU3159	252	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU3160	0	2	0	142	90	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3161	97	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3162	0	3	0	0	0	3	97	36	12	3	0	0	0	0	0	0	0	97	2	0
OTU3163	0	4	0	0	14	7	0	34	44	5	0	0	1	0	5	1	29	99	3	7
OTU3164	0	0	0	0	0	0	0	16	0	188	0	0	0	0	0	28	0	0	21	0
OTU3165	0	0	0	0	1	0	251	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU3166	0	1	0	0	2	67	23	9	135	6	1	0	1	0	0	0	7	0	0	0
OTU3167	0	2	6	0	0	5	3	20	18	5	1	0	3	0	1	1	78	91	14	4
OTU3168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	2
OTU3169	0	2	0	0	0	1	0	7	5	4	0	0	1	0	4	1	88	125	7	7
OTU3170	0	0	0	75	10	3	36	45	47	21	3	1	0	0	3	2	0	0	6	0
OTU3171	0	22	15	60	28	20	18	39	35	7	1	1	0	0	0	0	2	4	0	0
OTU3172	0	14	0	0	0	0	0	4	4	1	0	0	0	2	0	0	24	175	13	15
OTU3173	0	57	0	1	41	6	1	82	34	14	0	0	0	1	0	1	0	8	6	0
OTU3174	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	11	219	15	1
OTU3175	15	1	0	4	56	32	14	26	16	10	1	6	1	0	0	3	19	6	32	9
OTU3176	0	13	18	14	38	28	40	44	48	7	0	1	0	0	0	0	0	0	0	0
OTU3177	0	15	0	0	0	1	232	0	0	0	0	0	0	0	0	0	0	0	2	1
OTU3178	0	24	8	8	13	5	8	60	111	8	1	3	0	0	0	0	2	0	0	0
OTU3179	0	0	0	0	1	1	22	95	56	2	0	0	0	4	0	0	3	47	11	9
OTU3180	0	0	0	1	0	1	60	74	33	9	0	1	1	3	4	0	4	33	12	15
OTU3181	0	1	16	51	35	29	47	20	17	12	2	1	0	0	1	0	1	6	5	6
OTU3182	0	0	0	0	25	17	71	46	77	13	1	0	0	0	0	0	0	0	0	0
OTU3183	0	2	0	0	10	0	25	71	11	1	0	0	1	0	0	0	27	58	31	13
OTU3184	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3185	0	1	0	22	5	19	62	57	50	25	5	3	0	0	0	0	0	0	0	0
OTU3186	0	15	30	47	79	42	11	18	6	1	0	0	0	0	0	0	0	0	0	0
OTU3187	0	0	0	0	2	0	6	1	1	3	0	0	0	2	0	2	32	30	5	165
OTU3188	0	6	0	1	2	8	1	5	5	1	0	0	0	0	2	0	39	111	34	34
OTU3189	0	1	1	27	13	19	55	46	66	20	1	0	0	0	0	0	0	0	0	0
OTU3190	0	0	0	0	0	2	72	115	34	11	1	0	0	0	0	0	8	0	0	6
OTU3191	0	6	2	0	1	9	16	197	5	4	0	0	0	0	3	0	1	4	1	0
OTU3192	0	3	0	9	0	1	6	36	15	3	0	0	0	1	0	3	14	79	61	17
OTU3193	0	24	9	11	44	2	29	8	57	29	3	2	0	1	0	0	16	7	2	4
OTU3194	0	0	0	0	0	0	3	7	6	0	0	0	0	0	28	10	39	120	34	1
OTU3195	0	2	0	0	0	0	1	15	24	0	0	0	9	0	6	3	15	161	12	0
OTU3196	0	84	0	156	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3197	0	25	16	0	83	3	16	34	33	9	3	0	0	5	9	3	2	2	1	3
OTU3198	0	112	0	21	5	10	1	0	0	0	0	0	0	1	0	0	0	43	53	1
OTU3199	0	1	0	4	0	1	61	12	3	0	0	0	0	0	1	0	37	96	17	14
OTU3200	0	37	26	0	39	14	19	36	48	9	0	0	0	4	10	1	2	0	2	0
OTU3201	0	45	29	82	57	20	4	1	6	2	0	0	0	0	0	0	0	0	0	0
OTU3202	0	0	0	0	47	185	0	0	0	0	0	0	0	0	0	0	0	14	0	0
OTU3203	0	2	0	6	3	7	27	70	18	2	0	0	0	1	2	0	20	54	22	12
OTU3204	0	16	0	0	1	2	11	4	44	0	0	0	12	0	0	0	0	99	44	13
OTU3205	0	0	0	0	0	0	52	193	0	0	1	0	0	0	0	0	0	0	0	0
OTU3206	0	31	18	1	7	3	17	131	12	14	0	0	0	1	0	0	1	6	3	0
OTU3207	0	16	22	0	114	5	12	13	13	25	3	0	0	4	2	3	9	1	2	1
OTU3208	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	241	0	0
OTU3209	0	3	40	0	12	22	4	76	34	21	1	1	0	2	7	14	3	0	3	2
OTU3210	0	0	1	1	3	6	23	91	105	10	2	3	0	0	0	0	0	0	0	0
OTU3211	0	84	14	16	60	11	8	14	22	13	0	0	0	1	0	0	0	2	0	0
OTU3212	1	5	4	5	3	32	44	68	59	19	3	1	0	0	0	0	0	0	0	0
OTU3213	0	0	0	0	8	0	19	1	92	31	0	0	0	0	13	28	36	0	16	0
OTU3214	0	9	0	0	0	2	23	37	16	12	1	2	6	0	0	3	14	99	16	4
OTU3215	0	61	21	2	11	1	16	7	65	14	0	0	0	0	0	7	12	18	4	5
OTU3216	0	0	0	2	0	0	48	26	18	1	0	0	0	2	0	0	3	115	21	8
OTU3217	0	12	1	0	0	0	6	0	10	0	0	0	2	0	10	0	28	152	12	11
OTU3218	0	19	3	7	9	26	32	41	57	9	0	1	0	1	0	0	7	22	10	0
OTU3219	0	9	0	0	0	4	4	10	13	5	0	0	0	0	0	0	4	133	54	8
OTU3220	0	0	0	0	3	2	21	0	36	0	0	0	1	0	0	0	69	68	27	16
OTU3221	0	0	0	0	0	0	2	1	3	0	0	0	4	0	0	0	0	162	71	0
OTU3222	0	13	14	0	41	24	40	9	44	3	3	2	1	3	2	10	8	8	16	2
OTU3223	0	17	15	1	16	23	25	48	57	35	3	2	0	0	0	0	0	0	1	0
OTU3224	0	2	0	216	15	4	1	0	1	0	0	0	0	0	0	0	1	2	1	0
OTU3225	0	54	9	95	21	25	12	12	9	4	0	1	0	0	0	0	0	0	0	0
OTU3226	0	0	0	0	0	0	13	0	5	1	0	0	2	0	0	0	14	164	32	11
OTU3227	0	13	172	0	7	1	0	4	0	0	1	0	0	0	0	0	0	44	0	0
OTU3228	0	4	1	0	30	25	15	116	7	28	2	1	1	6	1	2	1	0	0	2
OTU3229	0	0	0	5	36	50	73	39	32	7	0	0	0	0	0	0	0	0	0	0
OTU3230	0	8	0	9	82	15	6	39	2	4	0	1	2	0	0	0	8	65	0	0
OTU3231	153	0	62	0	0	0	0	0	0	0	0	0	0	0	5	0	0	21	0	0
OTU3232	0	1	1	0	0	0	2	8	7	3	0	0	0	2	2	0	35	124	42	14
OTU3233	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3234	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3235	0	21	0	0	3	5	1	4	12	8	0	0	2	0	7	0	7	9	134	28
OTU3236	0	15	0	45	1	3	37	39	65	12	2	2	0	6	1	1	9	1	1	1
OTU3237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	40	47	31	9	1
OTU3238	0	7	11	7	3	21	6	49	45	7	1	0	2	5	5	11	6	42	2	10
OTU3239	0	127	6	0	1	0	5	1	9	3	0	0	0	5	6	2	3	4	66	2
OTU3240	0	75	0	0	0	98	0	0	0	3	0	0	0	0	0	4	0	42	0	18
OTU3241	0	18	1	207	1	7	3	1	1	0	0	0	0	1	0	0	0	0	0	0
OTU3242	0	47	12	1	57	16	23	19	12	33	5	0	0	3	1	4	3	3	1	0
OTU3243	0	17	19	1	7	22	4	3	6	1	0	1	2	3	2	6	9	38	50	49
OTU3244	0	56	3	0	0	7	21	90	47	0	0	0	1	0	3	8	2	2	0	0
OTU3245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	197	10
OTU3246	0	0	0	0	0	4	24	101	74	8	1	0	0	0	0	5	0	0	0	23
OTU3247	0	51	8	0	29	16	1	31	91	7	1	0	0	2	2	0	0	0	0	0
OTU3248	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3249	0	9	0	1	1	2	30	127	36	25	1	1	0	1	0	0	0	0	5	0
OTU3250	0	0	0	228	3	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU3251	0	1	4	0	3	12	13	61	124	13	4	3	0	1	0	0	0	0	0	0
OTU3252	0	16	0	14	5	4	34	14	12	5	1	0	4	1	0	10	78	0	19	21
OTU3253	0	0	0	0	5	18	18	17	43	1	0	0	0	2	0	2	7	93	22	10
OTU3254	0	12	9	142	12	7	26	9	6	4	0	0	0	0	0	1	3	3	3	1
OTU3255	0	89	0	105	18	6	1	2	2	0	0	0	0	0	0	0	0	6	5	3
OTU3256	0	35	37	0	47	16	40	4	20	0	1	2	0	1	9	6	13	1	4	1
OTU3257	0	0	0	1	0	8	3	1	10	4	0	0	0	2	2	0	54	80	54	18
OTU3258	129	4	40	0	0	1	0	16	22	0	0	0	0	2	0	2	8	11	2	0
OTU3259	0	0	0	0	0	1	3	17	3	0	0	0	0	0	6	0	16	114	45	32
OTU3260	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3261	0	127	2	0	0	0	14	2	25	0	0	0	0	5	5	2	1	5	49	0
OTU3262	0	13	0	0	43	10	12	21	1	6	0	0	0	5	28	5	7	3	52	31
OTU3263	0	10	0	0	2	2	85	85	18	20	0	0	2	0	3	0	0	0	9	0
OTU3264	0	17	0	0	26	22	91	0	6	0	3	0	6	0	1	0	0	43	2	19
OTU3265	0	0	230	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0
OTU3266	180	0	0	0	4	0	1	0	2	0	0	1	0	1	0	0	21	0	19	7
OTU3267	0	0	227	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	4	0
OTU3268	0	10	19	19	16	22	47	48	25	25	1	2	0	0	0	0	1	1	0	0
OTU3269	0	7	0	0	0	4	3	16	24	2	0	0	0	4	1	0	16	96	45	18
OTU3270	0	0	0	56	6	44	31	16	15	6	0	0	1	0	0	0	19	17	19	6
OTU3271	0	29	34	0	46	16	16	12	28	27	0	1	0	3	23	0	1	0	0	0
OTU3272	0	40	9	5	12	22	25	23	32	17	2	0	0	2	5	6	11	15	3	6
OTU3273	0	0	0	0	2	8	7	86	104	17	3	0	0	3	2	0	2	1	0	0
OTU3274	0	1	2	148	7	0	4	2	5	3	1	0	0	7	2	0	1	10	15	27
OTU3275	0	89	24	1	59	14	4	18	4	11	3	0	0	1	0	1	1	4	1	0
OTU3276	0	18	0	203	2	6	1	0	2	0	0	0	0	0	1	0	1	1	0	0
OTU3277	0	76	32	61	3	1	4	3	5	2	0	0	2	0	0	0	14	16	9	7
OTU3278	0	87	8	0	8	7	12	45	33	4	3	0	0	5	9	3	1	4	5	1
OTU3279	0	116	0	0	0	24	40	9	18	1	0	0	0	4	0	0	13	0	0	10
OTU3280	0	6	16	22	66	30	28	30	25	7	0	0	0	0	0	0	0	2	1	1
OTU3281	0	6	206	0	1	0	0	10	11	0	0	0	0	0	0	0	0	0	0	0
OTU3282	0	8	0	0	8	26	29	70	24	34	0	0	0	9	1	3	12	6	0	3
OTU3283	0	0	0	0	0	4	64	76	27	19	1	1	2	0	0	2	18	5	8	6
OTU3284	0	0	0	0	2	0	88	44	4	0	0	0	0	0	0	0	0	0	88	7
OTU3285	0	0	0	0	166	42	0	3	0	0	0	0	0	0	0	0	0	0	0	22
OTU3286	0	133	0	16	43	13	9	8	2	5	0	1	0	0	2	0	0	0	0	1
OTU3287	0	5	0	0	3	1	16	34	14	2	0	0	0	2	3	4	18	104	21	6
OTU3288	0	0	0	0	1	2	5	3	9	1	0	0	0	1	1	1	23	151	21	13
OTU3289	0	8	0	0	21	33	0	2	41	9	2	1	3	6	8	2	49	39	4	4
OTU3290	208	0	0	3	0	0	0	12	8	0	0	0	0	0	0	0	1	0	0	0
OTU3291	0	36	10	0	39	6	1	87	5	3	0	0	0	28	6	11	0	0	0	0
OTU3292	0	17	2	107	8	8	8	33	30	4	1	1	0	0	0	0	3	7	2	1
OTU3293	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	3	0	0	1
OTU3294	0	0	0	4	36	173	12	6	0	1	0	0	0	0	0	0	0	0	0	0
OTU3295	0	5	0	0	0	0	6	28	27	1	1	0	0	0	0	0	17	110	36	0
OTU3296	0	3	0	0	1	7	21	12	2	0	0	0	0	6	2	0	11	163	2	1
OTU3297	0	44	0	0	23	2	1	105	18	16	0	0	0	6	0	0	0	9	5	2
OTU3298	0	6	0	3	9	4	10	18	1	0	0	0	4	3	3	1	15	137	5	12
OTU3299	0	2	5	1	1	6	3	27	20	3	0	0	1	1	1	0	32	103	16	9
OTU3300	0	1	7	0	1	16	19	50	119	11	0	2	0	1	1	0	2	0	0	0
OTU3301	0	15	0	2	0	0	25	56	19	0	0	0	2	0	0	2	12	80	14	3
OTU3302	0	0	0	6	0	4	79	61	64	16	0	0	0	0	0	0	0	0	0	0
OTU3303	0	38	3	0	35	9	10	53	24	28	2	3	0	6	10	7	0	1	0	1
OTU3304	0	0	0	2	0	3	10	10	11	1	0	0	4	1	0	0	14	116	37	21
OTU3305	0	9	0	0	0	4	19	34	10	3	0	0	0	0	0	0	8	121	13	9
OTU3306	0	0	0	0	0	24	55	68	52	10	1	1	0	0	0	0	0	17	1	0
OTU3307	0	0	0	0	0	0	0	0	0	0	0	0	0	49	36	0	0	74	0	70
OTU3308	0	4	0	0	133	1	62	6	1	2	0	0	6	1	1	0	0	12	0	0
OTU3309	0	40	9	74	59	2	3	4	1	6	1	0	0	0	0	0	9	4	12	5
OTU3310	0	0	225	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3311	0	2	20	0	2	0	2	14	105	41	8	1	0	4	0	7	6	9	8	0
OTU3312	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3313	0	3	0	0	3	3	29	91	35	36	0	0	0	2	7	3	1	8	3	4
OTU3314	0	3	2	0	0	7	9	148	43	14	2	0	0	0	0	0	0	0	0	0
OTU3315	0	0	2	0	2	11	9	80	107	11	1	1	0	3	0	1	0	0	0	0
OTU3316	0	0	0	0	4	10	14	28	11	0	0	0	0	0	0	0	0	141	13	7
OTU3317	0	7	0	0	0	0	0	99	49	0	0	0	13	5	12	0	13	29	0	0
OTU3318	0	0	0	0	2	1	69	14	0	0	0	5	0	0	3	0	0	116	15	2
OTU3319	0	70	74	12	10	21	4	4	10	15	1	2	0	0	0	0	1	0	2	0
OTU3320	0	7	5	0	1	1	7	6	10	5	0	0	2	0	3	0	32	108	32	7
