	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU55	1	159266	5135	3	283	38	3867	133	5985	958	1	0	11	1335	1259	115	487	714	15434	136
OTU56	192416	1	1484	0	11	1	1	3	9	0	0	0	2	4	8	8	1	24	46	9
OTU57	0	15785	11361	33862	21277	5812	17871	6017	17067	20567	2225	1187	363	1693	493	609	7423	14324	5779	3455
OTU58	0	60368	14273	121	29480	13178	7891	33835	3230	4431	319	56	405	1148	1333	2133	2531	3539	3968	2376
OTU59	0	51923	9242	54	28908	8839	2525	2581	2272	297	37	11	405	161	27168	34434	8165	4112	1303	167
OTU60	1	12498	52030	2167	28272	23227	6112	5704	18643	5123	623	1717	410	4047	4491	4347	2614	3198	1359	1451
OTU61	0	9885	9692	7078	25215	11508	24597	29410	19295	16428	1070	3469	60	127	325	138	2371	7431	1851	1448
OTU62	1	1299	9149	2586	4194	7162	15660	12044	11002	3498	270	482	1762	3697	3729	9268	19990	42913	15006	6239
OTU63	0	422	1502	1293	4171	1233	19998	71795	45265	16809	1544	1174	9	21	0	46	157	741	168	92
OTU64	165986	0	118	1	6	0	1	0	7	0	0	2	2	3	2	3	0	16	23	6
OTU65	5	3144	1173	622	1424	3822	14058	10120	7184	5105	140	60	2578	1152	1539	807	12575	71216	16344	11582
OTU66	0	27924	12388	34752	13258	8808	9488	26379	18585	4609	699	649	84	34	116	60	916	2830	910	460
OTU67	1	599	709	114	547	2476	4095	4778	4260	1712	97	152	471	579	1794	262	13340	83968	26571	8816
OTU68	0	13110	11007	89	19770	6902	9457	22218	20670	4389	552	147	1059	1869	2106	3631	8263	17769	6028	4736
OTU69	0	28624	4214	158	2463	2080	14423	55669	21832	77	37	288	359	444	774	10041	1607	7929	1210	461
OTU70	0	593	1153	1264	708	3089	16685	66728	46707	10863	1243	1973	1	0	0	0	6	61	0	20
OTU71	132	3322	4401	8329	4134	4768	10177	13346	10276	9059	193	338	976	1001	1216	2461	8400	53164	9466	5795
OTU72	142827	6	689	0	2	0	3	8	4	3	0	0	2	0	0	9	3	71	14	11
OTU73	140277	0	232	1	26	2	1	7	1	5	1	0	5	3	0	8	10	18	23	17
OTU74	0	7651	4788	5	12462	20418	10071	43317	31093	4644	1603	490	0	0	1	0	3	0	6	0
OTU75	132475	3	1026	2	4	3	0	5	2	0	0	0	0	0	4	5	0	11	23	2
OTU76	1	1938	22725	19	65766	1790	6369	6028	3909	2545	1857	459	258	824	597	749	10285	3387	2041	822
OTU77	131939	9	13	4	8	0	3	0	0	2	0	0	0	0	0	3	0	16	7	3
OTU78	0	3292	201	12	61736	915	18979	798	10643	19943	155	43	596	123	77	873	1836	4419	2053	1096
OTU79	4	2217	3471	367	4947	7273	5871	9456	13925	2096	565	344	1903	1957	431	1534	12867	29744	19740	7148
OTU80	123640	2	162	0	5	0	3	11	2	0	0	0	0	0	2	1	2	9	23	8
OTU81	0	85023	4385	20	659	28100	90	1019	20	26	139	71	30	1	17	13	3	1364	1	20
OTU82	0	12880	11147	14	2174	72241	1348	1156	201	359	39	34	139	730	332	284	3900	6848	1298	4055
OTU83	0	34371	10919	6	2112	672	3134	1268	5760	9341	805	58	633	326	4765	1618	11878	21821	2834	6569
OTU84	2	2394	717	528	1017	1463	4439	6137	3282	1314	45	40	719	482	956	274	8754	58667	18979	8011
OTU85	1	3149	2066	236	777	2381	4304	6276	3438	1771	45	39	1115	999	1707	641	11748	56239	13570	6128
OTU86	0	6	3	0	0	9	114723	2	7	19	0	0	0	0	0	0	1	2	0	4
OTU87	1	6413	1546	64	3164	2120	17583	8260	35822	9855	1680	1196	1344	2768	7304	4752	1654	1021	3790	4171
OTU88	5	316	3801	1023	10402	1106	4758	714	5434	33117	3359	1822	3366	272	381	756	2504	19415	3612	14791
OTU89	110324	1	233	6	1	1	0	4	0	3	0	1	0	3	3	0	0	48	15	3
OTU90	109846	4	354	0	4	0	13	0	0	3	0	0	1	12	2	3	2	41	6	8
OTU91	109255	6	273	2	2	0	5	2	7	1	0	0	0	2	10	0	4	7	25	5
OTU92	0	2801	4	4	1078	4199	11422	51117	26849	9928	783	1175	0	5	0	1	3	0	0	0
OTU93	185	726	16120	1908	36082	2786	736	3306	2361	21610	46	10	423	128	150	228	658	14837	4894	1233
OTU94	491	130	1911	44	257	922	18974	33071	31111	10082	461	1197	38	7	390	17	2550	5412	987	246
OTU95	0	54	3	55796	38	22	787	1372	187	223	104	15	81	86	2294	3708	9080	12246	9316	11158
OTU96	93	1685	5689	685	5234	5435	3689	2337	7442	1946	92	1547	496	566	1003	713	6377	42301	9195	7006
OTU97	2	964	720	137	662	900	2734	5618	7568	857	108	239	401	261	737	152	21992	41002	13057	5077
OTU98	0	6	4	3	102857	9	72	29	25	4	0	1	1	0	1	19	13	1	17	0
OTU99	0	9335	10861	21987	13292	8868	9919	11034	10725	2562	227	91	17	22	32	38	329	1210	264	212
OTU100	0	409	1748	9	6927	285	419	67930	486	21847	199	182	1	1	10	3	6	20	11	6
OTU101	2	21242	10203	2572	6975	15044	3515	1267	2441	5920	266	167	704	972	699	1273	6036	10658	6684	3759
OTU102	0	104	58	16	827	1202	12925	66851	17078	1012	14	23	0	0	4	2	2	70	20	0
OTU103	3	14250	6842	384	7622	5763	11537	18548	10002	6989	694	563	238	1405	1965	1105	1580	6030	2331	1368
OTU104	0	28714	9208	20294	9616	7825	5918	7024	3908	3334	146	204	22	47	73	44	309	1293	443	330
OTU105	2	1499	3	350	692	2187	3842	8265	6957	1335	66	70	603	437	1436	202	13865	40573	11847	4441
OTU106	0	11839	3017	53268	1557	1655	2499	1857	1234	363	27	14	148	202	252	258	3096	11386	2651	1831
OTU107	0	44	35737	7	11	11454	5889	4428	97	2947	68	0	1067	825	2790	412	14350	11921	4978	20
OTU108	0	50	44453	5758	11318	201	24113	468	734	1258	59	2285	157	26	80	270	669	2854	578	336
OTU109	0	1331	1679	83512	225	135	417	506	145	1179	90	6	72	674	21	43	166	1818	402	3196
OTU110	93428	3	289	2	6	0	2	4	1	0	0	0	0	3	3	3	14	15	9	1
OTU111	0	1866	9039	9655	7278	9920	16017	19497	13398	5649	524	608	0	0	0	0	26	0	17	4
OTU112	0	8718	903	1	53719	11908	358	7608	1348	1360	423	39	101	344	22	749	2872	160	363	525
OTU113	0	10942	2	3	4798	40	1514	8490	24380	6463	32	965	434	2920	4041	967	15538	6553	2153	282
