OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium stygium
OTU3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp.
OTU15	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU12	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
OTU2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU6	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	?
OTU9	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	metagenome
OTU14	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU10	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	?
OTU11	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU16	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	?
OTU7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	metagenome
OTU4	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	?	?
OTU17	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	?
OTU20	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chlorophyta symbiont of Lubomirskia sp.	?	?
OTU19	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU29	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Cenchrus americanus
OTU18	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	?
OTU21	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	DSSD61	?
OTU23	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Nannochloropsis gaditana	?	?
OTU28	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU31	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	uncultured Bacteroidetes bacterium
OTU22	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	Bacteroidetes bacterium UKL13-3	?
OTU30	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU27	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
OTU26	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium swingsii
OTU24	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU8	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Phyllopharyngea	Acineta	Acineta flava
OTU40	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria meningitidis
OTU32	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	marine metagenome
OTU37	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	metagenome
OTU34	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans
OTU35	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	?
OTU36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
OTU33	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU43	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU39	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
OTU44	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Monodopsis sp. MarTras21	?	?
OTU42	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	?
OTU38	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	?	?
OTU41	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	?
OTU45	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	?	?
OTU46	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	metagenome	?
OTU47	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU48	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Antarctic bacterium
OTU52	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
OTU49	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	?
OTU50	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
OTU53	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	metagenome	?
OTU55	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas arctica
OTU56	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
OTU51	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	?
OTU59	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU58	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	metagenome
OTU57	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	?
OTU60	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	?	?
OTU63	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	uncultured archaeon
OTU54	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU62	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
OTU64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides
OTU65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU71	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	?
OTU69	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	?
OTU74	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU70	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	?	uncultured Anaerolineaceae bacterium
OTU68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	?	?
OTU72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
OTU73	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU66	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	?	?
OTU77	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	?
OTU75	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
OTU76	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	?	?
OTU79	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU78	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	?	?
OTU82	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU80	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	?
OTU81	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	?
OTU83	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	DSSD61	?
OTU84	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	?	?
OTU86	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	?	?
OTU90	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
OTU89	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
OTU91	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
OTU85	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	?
OTU87	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU88	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus wooponensis
OTU92	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	metagenome	?
OTU93	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus aquatilis
OTU95	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU94	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU96	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingopyxis sp.
OTU97	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU98	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	?
OTU101	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU99	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	?	?
OTU100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	?	?
OTU103	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU102	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU105	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU106	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	?
OTU107	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU110	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	?
OTU108	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU104	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Monodopsis sp. MarTras21	?
OTU109	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma sp. HMF3257
OTU112	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	metagenome
OTU111	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU113	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	metagenome	?
OTU116	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	metagenome
OTU114	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU115	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	metagenome
OTU118	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU117	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	?	uncultured organism	?
OTU119	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Polymorphobacter	?
OTU124	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	metagenome
OTU120	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	metagenome
OTU121	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	metagenome	?
OTU123	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU122	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	?
OTU132	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	?
OTU127	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Lacihabitans	?
OTU126	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	?
OTU128	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	?
OTU129	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	uncultured actinobacterium
OTU130	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	?	?
OTU133	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp.
OTU131	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	?
OTU134	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	?	?
OTU135	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	?
OTU138	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	metagenome
OTU139	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp.
OTU137	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	metagenome
OTU136	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Candidatus Aquirestis	?
OTU140	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	metagenome
OTU142	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	metagenome
OTU141	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	?
OTU145	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Heliimonas	Heliimonas saccharivorans
OTU143	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Candidatus Jacksonbacteria
OTU144	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Pseudarcicella	?
OTU146	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU147	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	?	?
OTU149	Bacteria	Planctomycetota	OM190	?	?	?	?
OTU148	Bacteria	Actinobacteriota	Actinobacteria	PeM15	?	?	?
OTU151	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	metagenome
OTU150	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Gloeotilopsis sterilis	?	?
OTU154	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	metagenome
OTU153	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	uncultured Cytophagales bacterium	?
OTU152	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU155	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	?
OTU156	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	?
OTU158	Bacteria	Planctomycetota	OM190	?	?	?	?
OTU159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	?
OTU157	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	?	?
OTU160	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	?
OTU161	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	metagenome
OTU164	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	?	?
OTU165	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22	metagenome	?	?
OTU162	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	?
OTU163	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Tardiphaga	Tardiphaga robiniae
OTU167	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	?
OTU170	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	Hypsibius dujardini
OTU168	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	?	?
OTU169	Bacteria	Chloroflexi	OLB14	metagenome	?	?	?
OTU171	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	?
OTU172	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Emticicia	Emticicia sediminis
OTU176	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU174	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	?
OTU175	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	?
OTU173	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Luteolibacter algae
OTU177	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	uncultured Bacteroidetes bacterium	?
OTU178	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU179	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	?
OTU183	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	?
OTU181	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU180	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma sp. HMF3257
OTU182	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	?
OTU187	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU185	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	metagenome
OTU184	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	?
OTU186	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
OTU188	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	?	?
OTU191	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU192	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	?
OTU190	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	metagenome
OTU194	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	?	?
OTU193	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU195	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	?	?	?
OTU196	Bacteria	Actinobacteriota	Actinobacteria	PeM15	?	?	?
OTU197	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	?	?
OTU198	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	uncultured planctomycete
OTU200	Bacteria	Myxococcota	Polyangia	mle1-27	metagenome	?	?
OTU203	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU199	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
OTU201	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU202	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	?
OTU204	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	uncultured Bacteroidetes bacterium	?
OTU205	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	?	?
OTU207	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU206	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
OTU208	Bacteria	?	?	?	?	?	?
OTU209	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	metagenome
OTU210	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	?
OTU211	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	?	?
OTU213	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	?	?
OTU212	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	?	?
OTU216	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Megaira	uncultured Rickettsiales bacterium
OTU214	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	?	?
OTU215	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	?
OTU217	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	?
OTU218	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	oc32	metagenome
OTU220	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	uncultured Haliscomenobacter sp.
OTU221	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU219	Bacteria	?	?	?	?	?	?
OTU223	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	?	?
OTU222	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	metagenome
OTU224	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	?	?	?
OTU225	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	?
OTU226	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	?	?
OTU228	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	?	?
OTU227	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Candidatus Jacksonbacteria
OTU229	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU234	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	?
OTU231	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	metagenome	?
OTU230	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	?
OTU232	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	?	?	?
OTU233	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	metagenome
OTU235	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Candidatus Jacksonbacteria
OTU237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	?
OTU236	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	uncultured actinobacterium	?	?
OTU238	Bacteria	Patescibacteria	Parcubacteria	?	?	?	?
OTU240	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU239	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU249	Bacteria	Verrucomicrobiota	Verrucomicrobiae	?	uncultured Verrucomicrobia bacterium	?	?
OTU241	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingopyxis sp.
OTU243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	?
OTU242	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	oc32	?
OTU244	Bacteria	Desulfobacterota	?	uncultured Dongia sp.	?	?	?
OTU247	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	?	?
OTU248	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	metagenome
OTU245	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	uncultured Bacteroidetes bacterium	?
OTU246	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	?
OTU252	Bacteria	Chloroflexi	KD4-96	?	?	?	?
OTU250	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	?
OTU251	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	metagenome	?
OTU253	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	?
OTU254	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	?	?
OTU255	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU256	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU265	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	metagenome
