OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2082	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	metagenome
OTU2080	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	?	?
OTU2086	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU2081	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU2084	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	?	?
OTU2083	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp.
OTU2085	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	?
OTU2090	Bacteria	Actinobacteriota	Acidimicrobiia	?	?	?	?
OTU2091	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Siphonobacter	?
OTU2087	Bacteria	Acidobacteriota	Acidobacteriae	?	?	?	?
OTU2088	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	?
OTU2094	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	?	?
OTU2089	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU2092	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	?
OTU2093	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2095	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	uncultured Armatimonadetes bacterium	?
OTU2098	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	?	?
OTU2101	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingopyxis sp.
OTU2099	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	?
OTU2097	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	?
OTU2096	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	metagenome	?
OTU2100	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	?	?	?
OTU2102	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	?
OTU2107	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2104	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU2108	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	?	?
OTU2103	Bacteria	Proteobacteria	?	?	?	?	?
OTU2105	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	uncultured marine eukaryote	?	?
OTU2106	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	uncultured Ferrimicrobium sp.	?	?
OTU2109	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	metagenome
OTU2111	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	uncultured archaeon
OTU2110	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	?
OTU2115	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	metagenome
