Genome	WM01_S1_R1_001_val_1.fq.gz Relative Abundance (%)	WM01_S1_R1_001_val_1.fq.gz Mean	WM01_S1_R2_001_val_2.fq.gz Relative Abundance (%)	WM01_S1_R2_001_val_2.fq.gz Mean	WM02_S2_R1_001_val_1.fq.gz Relative Abundance (%)	WM02_S2_R1_001_val_1.fq.gz Mean	WM02_S2_R2_001_val_2.fq.gz Relative Abundance (%)	WM02_S2_R2_001_val_2.fq.gz Mean	WM03_S3_R1_001_val_1.fq.gz Relative Abundance (%)	WM03_S3_R1_001_val_1.fq.gz Mean	WM03_S3_R2_001_val_2.fq.gz Relative Abundance (%)	WM03_S3_R2_001_val_2.fq.gz Mean	WM04_S4_R1_001_val_1.fq.gz Relative Abundance (%)	WM04_S4_R1_001_val_1.fq.gz Mean	WM04_S4_R2_001_val_2.fq.gz Relative Abundance (%)	WM04_S4_R2_001_val_2.fq.gz Mean	WM05_S5_R1_001_val_1.fq.gz Relative Abundance (%)	WM05_S5_R1_001_val_1.fq.gz Mean	WM05_S5_R2_001_val_2.fq.gz Relative Abundance (%)	WM05_S5_R2_001_val_2.fq.gz Mean	WM11_S6_R1_001_val_1.fq.gz Relative Abundance (%)	WM11_S6_R1_001_val_1.fq.gz Mean	WM11_S6_R2_001_val_2.fq.gz Relative Abundance (%)	WM11_S6_R2_001_val_2.fq.gz Mean	WM12_S7_R1_001_val_1.fq.gz Relative Abundance (%)	WM12_S7_R1_001_val_1.fq.gz Mean	WM12_S7_R2_001_val_2.fq.gz Relative Abundance (%)	WM12_S7_R2_001_val_2.fq.gz Mean	WM13_S8_R1_001_val_1.fq.gz Relative Abundance (%)	WM13_S8_R1_001_val_1.fq.gz Mean	WM13_S8_R2_001_val_2.fq.gz Relative Abundance (%)	WM13_S8_R2_001_val_2.fq.gz Mean	WM14_S9_R1_001_val_1.fq.gz Relative Abundance (%)	WM14_S9_R1_001_val_1.fq.gz Mean	WM14_S9_R2_001_val_2.fq.gz Relative Abundance (%)	WM14_S9_R2_001_val_2.fq.gz Mean	WM15_S10_R1_001_val_1.fq.gz Relative Abundance (%)	WM15_S10_R1_001_val_1.fq.gz Mean	WM15_S10_R2_001_val_2.fq.gz Relative Abundance (%)	WM15_S10_R2_001_val_2.fq.gz Mean	WM16_S11_R1_001_val_1.fq.gz Relative Abundance (%)	WM16_S11_R1_001_val_1.fq.gz Mean	WM16_S11_R2_001_val_2.fq.gz Relative Abundance (%)	WM16_S11_R2_001_val_2.fq.gz Mean	WM17_S12_R1_001_val_1.fq.gz Relative Abundance (%)	WM17_S12_R1_001_val_1.fq.gz Mean	WM17_S12_R2_001_val_2.fq.gz Relative Abundance (%)	WM17_S12_R2_001_val_2.fq.gz Mean	WM18_S13_R1_001_val_1.fq.gz Relative Abundance (%)	WM18_S13_R1_001_val_1.fq.gz Mean	WM18_S13_R2_001_val_2.fq.gz Relative Abundance (%)	WM18_S13_R2_001_val_2.fq.gz Mean	WM19_S14_R1_001_val_1.fq.gz Relative Abundance (%)	WM19_S14_R1_001_val_1.fq.gz Mean	WM19_S14_R2_001_val_2.fq.gz Relative Abundance (%)	WM19_S14_R2_001_val_2.fq.gz Mean	WM20_S15_R1_001_val_1.fq.gz Relative Abundance (%)	WM20_S15_R1_001_val_1.fq.gz Mean	WM20_S15_R2_001_val_2.fq.gz Relative Abundance (%)	WM20_S15_R2_001_val_2.fq.gz Mean	WM21_S16_R1_001_val_1.fq.gz Relative Abundance (%)	WM21_S16_R1_001_val_1.fq.gz Mean	WM21_S16_R2_001_val_2.fq.gz Relative Abundance (%)	WM21_S16_R2_001_val_2.fq.gz Mean	WM22_S17_R1_001_val_1.fq.gz Relative Abundance (%)	WM22_S17_R1_001_val_1.fq.gz Mean	WM22_S17_R2_001_val_2.fq.gz Relative Abundance (%)	WM22_S17_R2_001_val_2.fq.gz Mean	WM23_S18_R1_001_val_1.fq.gz Relative Abundance (%)	WM23_S18_R1_001_val_1.fq.gz Mean	WM23_S18_R2_001_val_2.fq.gz Relative Abundance (%)	WM23_S18_R2_001_val_2.fq.gz Mean	WM24_S19_R1_001_val_1.fq.gz Relative Abundance (%)	WM24_S19_R1_001_val_1.fq.gz Mean	WM24_S19_R2_001_val_2.fq.gz Relative Abundance (%)	WM24_S19_R2_001_val_2.fq.gz Mean
WM22_S17_MAGScoT_cleanbin_000033	0.012850556	0.54625136	0.012949384	0.5473539	0.019186568	1.3327736	0.019670853	1.3514283	0	0	0	0	0.035224665	1.8935964	0.035413075	1.8956637	0.041800458	2.3085494	0.042078126	2.3257492	0.033222463	1.63219	0.033035383	1.6268827	0.033545323	2.3038404	0.03366654	2.3114533	0.08768714	4.5107207	0.087195806	4.479601	0.025540315	1.2664495	0.026138151	1.2979319	0.06389315	3.345616	0.06283812	3.2993479	0.033652443	2.3224561	0.03386023	2.3513243	0.22488415	14.554194	0.22130398	14.358823	0.062031604	3.45493	0.06192329	3.4553404	0.012816645	0.8087487	0.013053297	0.82607955	0.03516377	2.4197884	0.03501524	2.4136164	0.10646022	5.76759	0.10407722	5.7030096	0.13151133	6.762938	0.13030933	6.709163	0.21142702	9.424045	0.21064472	9.398327	0.09945982	3.9044127	0.099336095	3.9143322
WM03_S3_MAGScoT_cleanbin_000039	0.3416414	14.522491	0.34391412	14.536811	0.023284798	1.6174527	0.02410094	1.6557844	0.19753167	10.137387	0.1984815	10.121477	0.062253643	3.3466117	0.06312535	3.3791032	0.073379554	4.0525947	0.07352584	4.0639324	0.04303358	2.1142015	0.043083616	2.1217248	0.018576289	1.2757906	0.019042464	1.307404	0.0140157	0.7209826	0.014951819	0.76813537	0	0	0.00604133	0.29999194	0.029256852	1.5319673	0.029653909	1.5569937	0.010120425	0.69844097	0.011039211	0.7665856	0.056878038	3.6810687	0.056985203	3.6973598	0.008139529	0.4533416	0.008758151	0.48870775	0	0	0	0	0.06386075	4.3945656	0.06402697	4.413408	0.016479496	0.8927934	0.017254615	0.945483	0.7943156	40.84748	0.79323775	40.84099	0.84006613	37.444695	0.8374447	37.36424	0.70731217	27.766375	0.70206267	27.664734
WM04_S4_MAGScoT_cleanbin_000043	0.148951	6.3316083	0.15002073	6.3411846	0.30796194	21.392233	0.3092526	21.246294	0	0	0.03871425	1.9742163	0.26972917	14.500016	0.27091184	14.501925	0.36586818	20.20611	0.3613576	19.973019	0.21784551	10.702557	0.21809763	10.740583	0.3717658	25.532295	0.36985254	25.393074	0.51785594	26.639063	0.5164289	26.53104	0.32895246	16.311531	0.32983193	16.378334	0.5120142	26.810434	0.50645953	26.591917	0.24472277	16.889053	0.24184602	16.794287	0	0	0.018621728	1.2082299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024213906	1.326824	0	0	0.046090562	2.3730388	0	0	0	0	0	0	0	0
WM18_S13_MAGScoT_cleanbin_000014	0.13475223	5.7280474	0.13327211	5.6332417	0.07857229	5.457937	0.078388266	5.3854356	0	0	0	0	0.049541533	2.663238	0.04959342	2.6547382	0.026368016	1.4562488	0.026159894	1.445914	0.035324	1.7354367	0.034771245	1.7123681	0.124155834	8.526829	0.12238254	8.402453	0.13564946	6.977954	0.13277522	6.8211994	0.050699126	2.5139816	0.05042107	2.503739	0.0623501	3.2648184	0.06121842	3.2143044	0.10397069	7.1753297	0.10077111	6.9977536	0.16001514	10.355961	0.15445928	10.021751	0.18658404	10.392039	0.18464312	10.303147	0.18930377	11.945339	0.18449832	11.676001	0.098783605	6.7977757	0.0973401	6.709697	0.27662212	14.986283	0.26408026	14.470528	0.022102078	1.1365939	0.022321155	1.1492368	0.14569911	6.4943204	0.14254414	6.359886	0.1265248	4.966881	0.12289535	4.8426833
WM11_S6_MAGScoT_cleanbin_000022	2.3460076	99.724075	2.3516605	99.40168	1.4421709	100.178795	1.4480988	99.48739	0.06456918	3.313711	0.06625984	3.3788915	0.917532	49.324398	0.916302	49.049694	0.267874	14.794105	0.26686653	14.750293	0.30344093	14.907783	0.30515653	15.027945	0.22167382	15.224212	0.22185051	15.231656	0.14490287	7.4539585	0.14562376	7.4812813	0.33765143	16.74288	0.3361162	16.69039	0.18196353	9.528097	0.18049131	9.4767885	0.20307131	14.014561	0.20266029	14.07315	0.04910462	3.177984	0.050396018	3.2698352	0.17708288	9.862858	0.17614415	9.828902	0.059591807	3.7603283	0.059414774	3.7600715	0.16110542	11.086439	0.16211696	11.174795	0.0742528	4.022721	0.07575511	4.151073	0.057123583	2.9375663	0.059520826	3.064515	0.06826854	3.0429685	0.069132924	3.084501	0.05721486	2.2460368	0.058153164	2.2915215
WM12_S7_MAGScoT_cleanbin_000043	0.099985674	4.2501907	0.08729342	3.6897812	0.021524852	1.4951999	0.019918889	1.3684689	0	0	0	0	0.101392575	5.45063	0.088529915	4.739011	0.02437371	1.3461075	0.020906324	1.1555378	0.012143685	0.5966084	0.0111950245	0.55131775	0.3702862	25.430677	0.32660058	22.423513	0.04798452	2.4683752	0.042291287	2.1726744	0.07368245	3.653639	0.06590743	3.2727392	0.26405036	13.826384	0.22996779	12.074577	0.29227385	20.170694	0.24677326	17.136444	0.018940441	1.2257994	0.016041476	1.040816	0.12361203	6.8847313	0.11212409	6.2565618	0.15797202	9.968261	0.13727836	8.687679	0.052534003	3.6151178	0.04684352	3.2289448	0.054516	2.9534595	0.04562055	2.4998214	0	0	0	0	0.009411261	0.41949296	0.008592667	0.3833787	0.012274101	0.48183432	0.010797014	0.42545563
WM14_S9_MAGScoT_cleanbin_000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7158295	35.495327	0.7136868	35.439266	0	0	0	0	0	0	0	0	0.0070024	0.4531857	0.007082195	0.45951268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068431986	0.30502537	0.0070834756	0.31604317	0	0	0	0
WM23_S18_MAGScoT_cleanbin_000011	0.025867676	1.099583	0.02043278	0.8636675	0.04017079	2.7904193	0.033203393	2.2811418	0.16123283	8.274519	0.126998	6.476208	0.029877638	1.6061525	0.023899052	1.2793175	0.017793138	0.9826767	0.013003208	0.7187155	0.020364406	1.0004851	0.016798167	0.8272539	0.007989488	0.5487055	0.006890316	0.47307047	0.015793277	0.8124231	0.012067728	0.61996794	0.009497816	0.47096142	0.008156566	0.40502742	0.013110312	0.6864911	0.0099672405	0.5233351	0.033432275	2.3072615	0.024887469	1.7282372	0.32253498	20.874023	0.2423777	15.726144	0.14328295	7.9803286	0.1212293	6.764635	0.1120341	7.0695124	0.08973468	5.6788707	0.27447176	18.887724	0.22660717	15.620134	0.24884383	13.481366	0.18768752	10.284515	0.3410622	17.53904	0.26963797	13.882698	0.600953	26.786583	0.47650024	21.259993	0.6122802	24.035782	0.45751402	18.028309
WM11_S6_MAGScoT_cleanbin_000039	0	0	0	0	0.06200835	4.3073416	0.05405068	3.7133934	0	0	0	0	0.012451656	0.6693722	0.0095572835	0.51160187	0.0074284407	0.41025677	0.00604047	0.33386987	0.17192546	8.446545	0.14852923	7.3145714	0.14249149	9.786093	0.12146707	8.339601	0.048339862	2.4866543	0.04038122	2.0745463	0.026433052	1.3107169	0.021820627	1.0835383	0.010272088	0.53787404	0.008091017	0.424823	0.0089172525	0.61540633	0.0071458523	0.49622273	0.006725293	0.43525177	0.004704968	0.3052715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WM21_S16_MAGScoT_cleanbin_000033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011620233	0.57089174	0.011816922	0.5819441	0.0115944985	0.796292	0.011902562	0.81719774	0.023641724	1.2161556	0.024002718	1.2331165	0	0	0	0	0	0	0	0	0	0	0	0	0.10081365	6.5245214	0.09923794	6.438836	0.032369114	1.8028394	0.032527458	1.815043	0.028757803	1.8146585	0.028853158	1.8259758	0.0591046	4.067272	0.058961887	4.0642695	0.55649763	30.14882	0.5438446	29.80048	0.14712086	7.5656543	0.1469559	7.566236	0.04845518	2.1598175	0.04888179	2.180957	0.04353075	1.7088509	0.043428194	1.7112851
